,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199
Point_1,0.0,8.921,9.002,8.832,8.79,8.89,8.834,8.833,8.795,8.764,8.752,8.781,8.661,8.604,8.548,8.508,8.63,12.248,12.225,12.201,11.887,11.887,11.811,11.794,10.587,10.668,11.555,10.591,10.647,10.587,10.587,8.262,10.372,10.591,10.591,10.591,10.297,10.591,10.779,10.591,11.018,11.169,11.169,12.748,12.748,8.352,8.363,11.778,8.304,11.785,8.316,11.76,11.76,12.748,7.915,9.329,7.832,7.809,7.809,7.419,7.775,8.63,8.391,11.94,12.034,12.034,12.081,12.259,12.277,12.277,8.628,8.548,8.534,8.566,8.719,8.771,8.756,8.778,8.782,9.535,8.74,8.757,8.839,8.899,8.978,9.017,9.017,9.048,8.987,8.861,8.788,8.782,8.765,9.238,9.182,9.182,9.243,9.291,9.362,9.387,9.421,9.412,9.158,10.015,9.134,9.102,9.116,9.116,10.015,10.015,10.015,9.018,9.018,9.111,9.104,9.119,9.153,9.156,9.156,9.156,9.156,9.184,9.241,9.262,9.27,9.277,9.288,9.305,9.323,9.351,9.351,9.267,9.38,9.204,9.28,9.323,8.683,9.324,9.37,9.1,9.533,9.533,9.146,9.146,9.146,9.146,9.204,9.344,9.344,9.387,9.387,9.387,9.387,9.387,9.433,9.45,9.475,9.475,9.475,9.515,9.492,9.492,9.542,9.577,9.59,9.007,9.577,9.577,9.577,9.607,8.911,8.911,9.982,9.982,9.982,9.982,9.982,11.09,9.92,10.591,8.823,10.883,10.883,10.883,10.496,10.496,10.496,10.496,10.496,10.496,10.496,7.724,7.442,7.432,7.623,7.419,7.517,7.599,29.276
Point_2,8.832,0.0,0.044,0.177,0.135,0.155,0.212,0.212,0.25,0.281,0.294,0.378,0.452,0.517,0.568,0.609,0.698,0.743,0.767,0.791,1.104,1.104,1.178,2.361,2.733,2.328,5.098,3.099,2.558,2.733,2.733,1.243,3.008,3.099,3.099,2.736,3.485,3.099,2.471,3.099,2.238,2.018,2.018,1.375,1.375,1.152,1.142,1.207,1.201,1.207,1.256,1.276,1.276,1.375,1.589,0.791,1.673,1.695,1.695,2.212,1.727,0.698,1.113,1.052,0.958,0.958,0.911,0.732,0.715,0.715,0.695,0.573,0.587,0.555,0.51,0.562,0.547,0.569,0.573,0.939,0.532,0.548,0.63,0.691,0.571,0.532,0.532,0.501,0.562,0.652,0.455,0.449,0.432,0.642,0.623,0.623,0.573,0.526,0.541,0.48,0.498,0.488,0.419,1.05,0.395,0.362,0.377,0.377,1.05,1.05,1.05,0.278,0.278,0.371,0.364,0.38,0.413,0.416,0.416,0.416,0.416,0.445,0.502,0.522,0.531,0.537,0.549,0.565,0.584,0.611,0.611,0.729,0.64,0.689,0.722,0.765,1.382,0.766,0.811,0.793,1.396,1.396,0.746,0.746,0.746,0.746,0.689,0.806,0.806,0.849,0.849,0.849,0.849,0.849,0.895,0.912,0.937,0.937,0.937,0.977,0.954,0.954,1.004,1.039,1.052,0.268,1.039,1.039,1.039,1.069,1.099,1.099,4.179,4.179,4.179,4.179,4.179,3.597,4.117,3.099,0.222,3.391,3.391,3.391,3.003,3.003,3.003,3.003,3.003,3.003,3.003,2.245,2.234,2.225,2.397,2.212,1.588,1.67,11.112
Point_3,8.813,0.044,0.0,0.134,0.092,0.111,0.168,0.169,0.206,0.237,0.25,0.335,0.409,0.473,0.525,0.565,0.654,0.7,0.723,0.747,1.061,1.061,1.135,2.318,2.689,2.284,5.141,3.055,2.515,2.689,2.689,1.199,2.964,3.055,3.055,2.692,3.441,3.055,2.427,3.055,2.194,1.974,1.974,1.331,1.331,1.109,1.098,1.163,1.157,1.163,1.213,1.232,1.232,1.331,1.546,0.834,1.629,1.652,1.652,2.192,1.683,0.654,1.07,1.008,0.914,0.914,0.867,0.689,0.671,0.671,0.651,0.529,0.543,0.511,0.466,0.518,0.503,0.526,0.53,0.982,0.488,0.504,0.586,0.647,0.726,0.764,0.764,0.544,0.735,0.609,0.411,0.406,0.388,0.685,0.666,0.666,0.617,0.57,0.584,0.524,0.542,0.532,0.462,1.093,0.438,0.406,0.42,0.42,1.093,1.093,1.093,0.322,0.322,0.415,0.408,0.424,0.457,0.46,0.46,0.46,0.46,0.488,0.545,0.566,0.574,0.581,0.592,0.609,0.628,0.655,0.655,0.772,0.684,0.733,0.766,0.809,1.425,0.809,0.855,0.836,1.44,1.44,0.79,0.79,0.79,0.79,0.733,0.85,0.85,0.893,0.893,0.893,0.893,0.893,0.939,0.956,0.981,0.981,0.981,1.02,0.997,0.997,1.048,1.082,1.096,0.311,1.082,1.082,1.082,1.113,1.143,1.143,4.136,4.136,4.136,4.136,4.136,3.554,4.074,3.055,0.179,3.347,3.347,3.347,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.201,2.215,2.205,2.353,2.192,1.568,1.65,11.156
Point_4,8.803,0.177,0.134,0.0,0.042,0.102,0.159,0.159,0.197,0.228,0.241,0.325,0.4,0.464,0.516,0.556,0.645,0.69,0.714,0.738,1.051,1.051,1.125,2.308,2.68,2.275,5.275,3.046,2.505,2.68,2.68,1.19,2.955,3.046,3.046,2.683,3.432,3.046,2.418,3.046,2.185,1.965,1.965,1.322,1.322,1.1,1.089,1.154,1.148,1.154,1.204,1.223,1.223,1.322,1.536,0.968,1.62,1.643,1.643,2.183,1.674,0.645,1.06,0.999,0.905,0.905,0.858,0.679,0.662,0.662,0.642,0.52,0.534,0.502,0.457,0.509,0.494,0.516,0.521,0.803,0.479,0.495,0.273,0.212,0.247,0.285,0.285,0.317,0.256,0.251,0.402,0.397,0.379,0.506,0.45,0.45,0.512,0.559,0.631,0.657,0.675,0.666,0.596,0.914,0.572,0.54,0.554,0.554,0.914,0.914,0.914,0.455,0.455,0.548,0.542,0.557,0.591,0.594,0.594,0.594,0.594,0.622,0.679,0.699,0.708,0.714,0.726,0.742,0.761,0.788,0.788,0.906,0.818,0.866,0.899,0.942,1.559,0.943,0.989,0.97,1.574,1.574,0.924,0.924,0.924,0.924,0.866,0.984,0.984,1.026,1.026,1.026,1.026,1.026,1.072,1.089,1.114,1.114,1.114,1.154,1.131,1.131,1.181,1.216,1.23,0.445,1.216,1.216,1.216,1.247,1.276,1.276,4.126,4.126,4.126,4.126,4.126,3.545,4.064,3.046,0.17,3.338,3.338,3.338,2.951,2.951,2.951,2.951,2.951,2.951,2.951,2.192,2.206,2.196,2.344,2.183,1.559,1.641,11.289
Point_5,8.761,0.135,0.092,0.042,0.0,0.06,0.117,0.117,0.155,0.186,0.199,0.283,0.357,0.422,0.474,0.514,0.603,0.648,0.672,0.696,1.009,1.009,1.083,2.266,2.638,2.233,5.233,3.004,2.463,2.638,2.638,1.148,2.913,3.004,3.004,2.641,3.39,3.004,2.376,3.004,2.143,1.923,1.923,1.28,1.28,1.058,1.047,1.112,1.106,1.112,1.162,1.181,1.181,1.28,1.494,0.926,1.578,1.601,1.601,2.141,1.632,0.603,1.018,0.957,0.863,0.863,0.816,0.637,0.62,0.62,0.6,0.478,0.492,0.46,0.415,0.467,0.452,0.474,0.479,0.845,0.437,0.453,0.535,0.254,0.289,0.327,0.327,0.359,0.298,0.557,0.36,0.355,0.337,0.548,0.493,0.493,0.709,0.661,0.676,0.615,0.633,0.624,0.554,0.956,0.53,0.497,0.512,0.512,0.956,0.956,0.956,0.413,0.413,0.506,0.499,0.515,0.549,0.552,0.552,0.552,0.552,0.58,0.637,0.657,0.666,0.672,0.684,0.7,0.719,0.746,0.746,0.864,0.776,0.824,0.857,0.9,1.517,0.901,0.947,0.928,1.531,1.531,0.882,0.882,0.882,0.882,0.824,0.942,0.942,0.984,0.984,0.984,0.984,0.984,1.03,1.047,1.072,1.072,1.072,1.112,1.089,1.089,1.139,1.174,1.187,0.403,1.174,1.174,1.174,1.205,1.234,1.234,4.084,4.084,4.084,4.084,4.084,3.503,4.022,3.004,0.128,3.296,3.296,3.296,2.909,2.909,2.909,2.909,2.909,2.909,2.909,2.15,2.164,2.154,2.302,2.141,1.517,1.599,11.247
Point_6,8.702,0.155,0.111,0.102,0.06,0.0,0.057,0.057,0.095,0.126,0.139,0.223,0.298,0.362,0.414,0.454,0.543,0.589,0.612,0.636,0.95,0.95,1.023,2.207,2.578,2.173,5.252,2.944,2.403,2.578,2.578,1.088,2.853,2.944,2.944,2.581,3.33,2.944,2.316,2.944,2.083,1.863,1.863,1.22,1.22,0.998,0.987,1.052,1.046,1.052,1.102,1.121,1.121,1.22,1.435,0.946,1.518,1.541,1.541,2.081,1.572,0.543,0.958,0.897,0.803,0.803,0.756,0.578,0.56,0.56,0.54,0.418,0.432,0.4,0.355,0.407,0.392,0.415,0.419,1.171,0.377,0.393,0.475,0.536,0.615,0.653,0.653,0.685,0.624,0.497,0.3,0.295,0.277,0.874,0.818,0.818,0.88,0.681,0.695,0.635,0.653,0.643,0.573,1.282,0.55,0.517,0.531,0.531,1.282,1.282,1.282,0.433,0.433,0.526,0.519,0.535,0.568,0.571,0.571,0.571,0.571,0.599,0.656,0.677,0.686,0.692,0.704,0.72,0.739,0.766,0.766,0.883,0.795,0.844,0.877,0.92,1.536,0.921,0.966,0.947,1.551,1.551,0.901,0.901,0.901,0.901,0.844,0.961,0.961,1.004,1.004,1.004,1.004,1.004,1.05,1.067,1.092,1.092,1.092,1.131,1.108,1.108,1.159,1.194,1.207,0.423,1.194,1.194,1.194,1.224,1.254,1.254,4.025,4.025,4.025,4.025,4.025,3.443,3.963,2.944,0.068,3.236,3.236,3.236,2.849,2.849,2.849,2.849,2.849,2.849,2.849,2.09,2.104,2.094,2.242,2.081,1.457,1.539,11.267
Point_7,8.645,0.212,0.168,0.159,0.117,0.057,0.0,0.001,0.038,0.069,0.082,0.166,0.241,0.305,0.357,0.397,0.486,0.532,0.555,0.579,0.893,0.893,0.967,2.15,2.521,2.116,5.309,2.887,2.347,2.521,2.521,1.031,2.796,2.887,2.887,2.524,3.273,2.887,2.259,2.887,2.026,1.806,1.806,1.163,1.163,0.941,0.93,0.995,0.989,0.995,1.045,1.064,1.064,1.163,1.378,1.002,1.461,1.484,1.484,2.024,1.515,0.486,0.902,0.84,0.746,0.746,0.699,0.521,0.503,0.503,0.483,0.361,0.375,0.343,0.298,0.35,0.335,0.358,0.362,1.114,0.32,0.336,0.418,0.479,0.558,0.596,0.596,0.628,0.567,0.441,0.243,0.238,0.22,0.817,0.762,0.762,0.823,0.87,0.752,0.692,0.71,0.7,0.63,1.225,0.606,0.574,0.588,0.588,1.225,1.225,1.225,0.49,0.49,0.583,0.576,0.592,0.625,0.628,0.628,0.628,0.628,0.656,0.713,0.734,0.743,0.749,0.76,0.777,0.796,0.823,0.823,0.94,0.852,0.901,0.934,0.977,1.593,0.977,1.023,1.004,1.608,1.608,0.958,0.958,0.958,0.958,0.901,1.018,1.018,1.061,1.061,1.061,1.061,1.061,1.107,1.124,1.149,1.149,1.149,1.188,1.165,1.165,1.216,1.25,1.264,0.479,1.25,1.25,1.25,1.281,1.311,1.311,3.968,3.968,3.968,3.968,3.968,3.386,3.906,2.887,0.011,3.179,3.179,3.179,2.792,2.792,2.792,2.792,2.792,2.792,2.792,2.033,2.047,2.037,2.185,2.024,1.4,1.482,11.324
Point_8,8.644,0.212,0.169,0.159,0.117,0.057,0.001,0.0,0.038,0.069,0.081,0.166,0.24,0.304,0.356,0.397,0.485,0.531,0.555,0.579,0.892,0.892,0.966,2.149,2.52,2.116,5.31,2.886,2.346,2.52,2.52,1.031,2.795,2.886,2.886,2.524,3.272,2.886,2.258,2.886,2.026,1.805,1.805,1.162,1.162,0.94,0.929,0.995,0.988,0.995,1.044,1.063,1.063,1.162,1.377,1.003,1.46,1.483,1.483,2.023,1.515,0.485,0.901,0.839,0.746,0.746,0.698,0.52,0.503,0.503,0.483,0.361,0.375,0.343,0.298,0.35,0.335,0.357,0.361,1.114,0.319,0.336,0.418,0.479,0.558,0.596,0.596,0.627,0.566,0.44,0.243,0.237,0.22,0.817,0.761,0.761,0.822,0.87,0.753,0.692,0.71,0.701,0.631,1.225,0.607,0.575,0.589,0.589,1.225,1.225,1.225,0.49,0.49,0.583,0.577,0.592,0.626,0.629,0.629,0.629,0.629,0.657,0.714,0.734,0.743,0.749,0.761,0.777,0.796,0.823,0.823,0.941,0.853,0.901,0.934,0.977,1.594,0.978,1.024,1.005,1.609,1.609,0.959,0.959,0.959,0.959,0.901,1.019,1.019,1.061,1.061,1.061,1.061,1.061,1.107,1.124,1.149,1.149,1.149,1.189,1.166,1.166,1.216,1.251,1.265,0.48,1.251,1.251,1.251,1.282,1.311,1.311,3.967,3.967,3.967,3.967,3.967,3.385,3.905,2.886,0.01,3.178,3.178,3.178,2.791,2.791,2.791,2.791,2.791,2.791,2.791,2.033,2.046,2.036,2.185,2.023,1.399,1.482,11.324
Point_9,8.606,0.25,0.206,0.197,0.155,0.095,0.038,0.038,0.0,0.031,0.044,0.128,0.202,0.267,0.318,0.359,0.448,0.493,0.517,0.541,0.854,0.854,0.928,2.111,2.483,2.078,5.348,2.849,2.308,2.483,2.483,0.993,2.758,2.849,2.849,2.486,3.235,2.849,2.221,2.849,1.988,1.767,1.767,1.125,1.125,0.902,0.892,0.957,0.951,0.957,1.006,1.026,1.026,1.125,1.339,1.041,1.423,1.445,1.445,1.986,1.477,0.448,0.863,0.802,0.708,0.708,0.661,0.482,0.465,0.465,0.445,0.323,0.337,0.305,0.26,0.312,0.297,0.319,0.323,1.076,0.282,0.298,0.38,0.441,0.52,0.558,0.558,0.59,0.529,0.402,0.205,0.199,0.182,0.779,0.723,0.723,0.785,0.832,0.903,0.73,0.748,0.738,0.669,1.187,0.645,0.612,0.627,0.627,1.187,1.187,1.187,0.528,0.528,0.621,0.614,0.63,0.664,0.666,0.666,0.666,0.666,0.695,0.752,0.772,0.781,0.787,0.799,0.815,0.834,0.861,0.861,0.979,0.89,0.939,0.972,1.015,1.484,1.016,1.062,1.043,1.646,1.646,0.996,0.996,0.996,0.996,0.939,1.057,1.057,1.099,1.099,1.099,1.099,1.099,1.145,1.162,1.187,1.187,1.187,1.227,1.204,1.204,1.254,1.289,1.302,0.518,1.289,1.289,1.289,1.319,1.349,1.349,3.929,3.929,3.929,3.929,3.929,3.347,3.867,2.849,0.028,3.141,3.141,3.141,2.753,2.753,2.753,2.753,2.753,2.753,2.753,1.995,2.008,1.999,2.147,1.986,1.361,1.444,11.362
Point_10,8.575,0.281,0.237,0.228,0.186,0.126,0.069,0.069,0.031,0.0,0.013,0.097,0.171,0.236,0.288,0.328,0.417,0.462,0.486,0.51,0.823,0.823,0.897,2.08,2.452,2.047,5.378,2.818,2.277,2.452,2.452,0.962,2.727,2.818,2.818,2.455,3.204,2.818,2.19,2.818,1.957,1.737,1.737,1.094,1.094,0.872,0.861,0.926,0.92,0.926,0.976,0.995,0.995,1.094,1.308,1.072,1.392,1.414,1.414,1.955,1.446,0.417,0.832,0.771,0.677,0.677,0.63,0.451,0.434,0.434,0.414,0.292,0.306,0.274,0.229,0.281,0.266,0.288,0.293,1.045,0.251,0.267,0.349,0.41,0.489,0.527,0.527,0.559,0.498,0.371,0.174,0.168,0.151,0.748,0.692,0.692,0.754,0.801,0.872,0.761,0.779,0.769,0.699,1.156,0.676,0.643,0.657,0.657,1.156,1.156,1.156,0.559,0.559,0.652,0.645,0.661,0.694,0.697,0.697,0.697,0.697,0.726,0.782,0.803,0.812,0.818,0.83,0.846,0.865,0.892,0.892,1.01,0.921,0.97,1.003,1.046,1.453,1.047,1.092,1.074,1.677,1.677,1.027,1.027,1.027,1.027,0.97,1.087,1.087,1.13,1.13,1.13,1.13,1.13,1.176,1.193,1.218,1.218,1.218,1.257,1.235,1.235,1.285,1.32,1.333,0.549,1.32,1.32,1.32,1.35,1.38,1.38,3.898,3.898,3.898,3.898,3.898,3.317,3.836,2.818,0.059,3.11,3.11,3.11,2.723,2.723,2.723,2.723,2.723,2.723,2.723,1.964,1.978,1.968,2.116,1.955,1.331,1.413,11.393
