,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199,Point_200,Point_201,Point_202
Point_1,0.0,10.118,10.186,10.186,10.186,10.128,10.169,10.169,10.169,10.169,10.169,10.168,10.168,10.189,10.189,10.185,10.204,10.204,10.204,10.107,10.107,10.107,10.126,10.123,10.262,10.262,10.107,10.291,10.291,10.291,10.407,10.407,10.407,10.291,10.267,10.371,10.338,9.843,10.338,10.338,10.338,9.759,9.759,10.338,10.338,10.338,10.396,9.69,10.436,9.466,9.466,9.419,9.419,9.414,9.414,9.414,9.433,9.433,9.464,9.464,9.473,9.473,9.489,9.566,9.597,9.611,11.759,8.455,8.614,8.428,8.114,8.114,8.001,8.031,8.448,7.767,7.817,7.802,7.788,7.788,7.775,7.762,7.758,7.758,7.728,7.751,9.855,7.72,7.697,9.47,9.47,9.47,9.395,10.373,10.315,10.315,9.865,10.416,11.15,10.283,10.283,10.223,10.209,10.209,9.412,9.158,10.015,9.134,9.102,9.116,9.116,10.015,10.015,10.015,9.018,9.018,9.111,9.104,9.119,9.153,9.156,9.156,9.156,9.156,9.184,9.241,9.262,9.27,9.277,9.288,9.305,9.323,9.351,9.351,9.267,9.38,9.204,9.28,9.323,8.683,9.324,9.37,9.1,9.533,9.533,9.146,9.146,9.146,9.146,9.204,9.344,9.344,9.387,9.387,9.387,9.387,9.387,9.433,9.45,9.475,9.475,9.475,9.515,9.492,9.492,9.542,9.577,9.59,9.007,9.577,9.577,9.577,9.607,8.911,8.911,9.982,9.982,9.982,9.982,9.982,11.09,9.92,10.591,8.823,10.883,10.883,10.496,10.496,10.496,10.496,10.496,10.496,10.496,8.126,7.724,7.442,7.432,7.623,7.419,7.517,7.599,29.276
Point_2,9.952,0.0,0.498,0.498,0.498,0.01,0.051,0.051,0.051,0.051,0.051,0.05,0.05,0.071,0.071,0.067,0.086,0.086,0.086,1.205,1.205,1.205,1.224,1.222,1.317,1.317,1.205,1.345,1.345,1.345,1.462,1.462,1.462,1.345,1.321,1.426,1.393,2.223,1.393,1.393,1.393,2.139,2.139,1.393,1.393,1.393,1.45,2.07,1.491,1.847,1.847,1.799,1.799,1.794,1.794,1.794,1.813,1.813,1.844,1.844,1.853,1.853,1.869,1.946,1.977,1.991,2.356,2.418,2.574,2.449,3.381,3.381,2.453,2.429,2.495,3.442,2.465,2.48,2.494,2.494,2.507,2.52,2.525,2.525,2.46,2.483,5.148,2.452,2.401,1.062,1.062,1.062,1.324,0.911,1.483,1.483,1.158,0.953,3.53,0.82,0.82,0.761,0.746,0.746,1.217,1.204,1.304,1.284,1.256,1.245,1.245,1.304,1.304,1.304,1.34,1.34,1.373,1.367,1.382,1.416,1.419,1.419,1.419,1.419,1.447,1.504,1.525,1.533,1.539,1.551,1.568,1.586,1.614,1.614,1.731,1.643,1.691,1.724,1.767,2.384,1.768,1.814,1.795,1.913,1.913,1.749,1.749,1.749,1.749,1.691,1.809,1.809,1.851,1.851,1.851,1.851,1.851,1.898,1.915,1.94,1.94,1.94,1.979,1.956,1.956,2.007,2.041,2.055,1.482,2.041,2.041,2.041,2.072,2.101,2.101,5.276,5.276,5.276,5.276,5.276,4.694,5.214,4.195,1.639,4.487,4.487,4.1,4.1,4.1,4.1,4.1,4.1,4.1,2.881,3.341,3.355,3.345,3.493,3.332,2.708,2.79,11.629
Point_3,11.403,2.082,0.0,0.0,0.0,2.092,2.134,2.134,2.134,2.134,2.134,2.132,2.132,2.153,2.153,2.149,2.169,2.169,2.169,2.655,2.655,2.655,2.675,2.672,2.767,2.767,2.655,2.796,2.796,2.796,2.912,2.912,2.912,2.796,2.772,2.876,2.843,3.674,2.843,2.843,2.843,3.589,3.589,2.843,2.843,2.843,2.901,3.521,2.941,3.297,3.297,3.25,3.25,3.245,3.245,3.245,3.263,3.263,3.294,3.294,3.303,3.303,3.319,3.397,3.427,3.442,3.806,3.869,4.024,3.899,4.831,4.831,3.903,3.879,3.945,4.892,3.916,3.931,3.945,3.945,3.957,3.971,3.975,3.975,3.91,3.933,6.599,3.902,3.852,2.513,2.513,2.513,2.774,1.845,2.933,2.933,2.205,1.888,3.64,1.755,1.755,1.695,1.681,1.681,2.667,2.654,2.754,2.735,2.706,2.696,2.696,2.754,2.754,2.754,2.79,2.79,2.824,2.817,2.833,2.866,2.869,2.869,2.869,2.869,2.897,2.954,2.975,2.983,2.99,3.001,3.018,3.037,3.064,3.064,3.181,3.093,3.142,3.175,3.218,3.834,3.218,3.264,3.245,3.364,3.364,3.199,3.199,3.199,3.199,3.142,3.259,3.259,3.302,3.302,3.302,3.302,3.302,3.348,3.365,3.39,3.39,3.39,3.429,3.406,3.406,3.457,3.491,3.505,2.932,3.491,3.491,3.491,3.522,3.552,3.552,6.726,6.726,6.726,6.726,6.726,6.144,6.664,5.645,3.089,5.937,5.937,5.55,5.55,5.55,5.55,5.55,5.55,5.55,4.331,4.792,4.805,4.795,4.944,4.782,4.158,4.24,12.158
Point_4,11.403,2.082,0.0,0.0,0.0,2.092,2.134,2.134,2.134,2.134,2.134,2.132,2.132,2.153,2.153,2.149,2.169,2.169,2.169,2.655,2.655,2.655,2.675,2.672,2.767,2.767,2.655,2.796,2.796,2.796,2.912,2.912,2.912,2.796,2.772,2.876,2.843,3.674,2.843,2.843,2.843,3.589,3.589,2.843,2.843,2.843,2.901,3.521,2.941,3.297,3.297,3.25,3.25,3.245,3.245,3.245,3.263,3.263,3.294,3.294,3.303,3.303,3.319,3.397,3.427,3.442,3.806,3.869,4.024,3.899,4.831,4.831,3.903,3.879,3.945,4.892,3.916,3.931,3.945,3.945,3.957,3.971,3.975,3.975,3.91,3.933,6.599,3.902,3.852,2.513,2.513,2.513,2.774,1.845,2.933,2.933,2.205,1.888,3.64,1.755,1.755,1.695,1.681,1.681,2.667,2.654,2.754,2.735,2.706,2.696,2.696,2.754,2.754,2.754,2.79,2.79,2.824,2.817,2.833,2.866,2.869,2.869,2.869,2.869,2.897,2.954,2.975,2.983,2.99,3.001,3.018,3.037,3.064,3.064,3.181,3.093,3.142,3.175,3.218,3.834,3.218,3.264,3.245,3.364,3.364,3.199,3.199,3.199,3.199,3.142,3.259,3.259,3.302,3.302,3.302,3.302,3.302,3.348,3.365,3.39,3.39,3.39,3.429,3.406,3.406,3.457,3.491,3.505,2.932,3.491,3.491,3.491,3.522,3.552,3.552,6.726,6.726,6.726,6.726,6.726,6.144,6.664,5.645,3.089,5.937,5.937,5.55,5.55,5.55,5.55,5.55,5.55,5.55,4.331,4.792,4.805,4.795,4.944,4.782,4.158,4.24,12.158
Point_5,11.403,2.082,0.0,0.0,0.0,2.092,2.134,2.134,2.134,2.134,2.134,2.132,2.132,2.153,2.153,2.149,2.169,2.169,2.169,2.655,2.655,2.655,2.675,2.672,2.767,2.767,2.655,2.796,2.796,2.796,2.912,2.912,2.912,2.796,2.772,2.876,2.843,3.674,2.843,2.843,2.843,3.589,3.589,2.843,2.843,2.843,2.901,3.521,2.941,3.297,3.297,3.25,3.25,3.245,3.245,3.245,3.263,3.263,3.294,3.294,3.303,3.303,3.319,3.397,3.427,3.442,3.806,3.869,4.024,3.899,4.831,4.831,3.903,3.879,3.945,4.892,3.916,3.931,3.945,3.945,3.957,3.971,3.975,3.975,3.91,3.933,6.599,3.902,3.852,2.513,2.513,2.513,2.774,1.845,2.933,2.933,2.205,1.888,3.64,1.755,1.755,1.695,1.681,1.681,2.667,2.654,2.754,2.735,2.706,2.696,2.696,2.754,2.754,2.754,2.79,2.79,2.824,2.817,2.833,2.866,2.869,2.869,2.869,2.869,2.897,2.954,2.975,2.983,2.99,3.001,3.018,3.037,3.064,3.064,3.181,3.093,3.142,3.175,3.218,3.834,3.218,3.264,3.245,3.364,3.364,3.199,3.199,3.199,3.199,3.142,3.259,3.259,3.302,3.302,3.302,3.302,3.302,3.348,3.365,3.39,3.39,3.39,3.429,3.406,3.406,3.457,3.491,3.505,2.932,3.491,3.491,3.491,3.522,3.552,3.552,6.726,6.726,6.726,6.726,6.726,6.144,6.664,5.645,3.089,5.937,5.937,5.55,5.55,5.55,5.55,5.55,5.55,5.55,4.331,4.792,4.805,4.795,4.944,4.782,4.158,4.24,12.158
Point_6,9.962,0.01,0.508,0.508,0.508,0.0,0.042,0.042,0.042,0.042,0.042,0.04,0.04,0.061,0.061,0.057,0.076,0.076,0.076,1.215,1.215,1.215,1.234,1.231,1.326,1.326,1.215,1.355,1.355,1.355,1.471,1.471,1.471,1.355,1.331,1.436,1.403,2.233,1.403,1.403,1.403,2.149,2.149,1.403,1.403,1.403,1.46,2.08,1.501,1.856,1.856,1.809,1.809,1.804,1.804,1.804,1.823,1.823,1.854,1.854,1.863,1.863,1.879,1.956,1.987,2.001,2.366,2.428,2.584,2.458,3.391,3.391,2.463,2.439,2.505,3.452,2.475,2.49,2.504,2.504,2.517,2.53,2.535,2.535,2.47,2.493,5.158,2.462,2.411,1.072,1.072,1.072,1.334,0.92,1.493,1.493,1.168,0.963,3.54,0.83,0.83,0.77,0.756,0.756,1.227,1.213,1.314,1.294,1.266,1.255,1.255,1.314,1.314,1.314,1.35,1.35,1.383,1.377,1.392,1.426,1.429,1.429,1.429,1.429,1.457,1.514,1.534,1.543,1.549,1.561,1.577,1.596,1.623,1.623,1.741,1.653,1.701,1.734,1.777,2.394,1.778,1.824,1.805,1.923,1.923,1.759,1.759,1.759,1.759,1.701,1.819,1.819,1.861,1.861,1.861,1.861,1.861,1.907,1.924,1.95,1.95,1.95,1.989,1.966,1.966,2.016,2.051,2.065,1.492,2.051,2.051,2.051,2.082,2.111,2.111,5.285,5.285,5.285,5.285,5.285,4.704,5.223,4.205,1.649,4.497,4.497,4.11,4.11,4.11,4.11,4.11,4.11,4.11,2.89,3.351,3.365,3.355,3.503,3.342,2.718,2.8,11.639
Point_7,10.004,0.051,0.549,0.549,0.549,0.042,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.019,0.019,0.015,0.035,0.035,0.035,1.257,1.257,1.257,1.276,1.273,1.368,1.368,1.257,1.397,1.397,1.397,1.513,1.513,1.513,1.397,1.373,1.477,1.444,2.275,1.444,1.444,1.444,2.19,2.19,1.444,1.444,1.444,1.502,2.122,1.542,1.898,1.898,1.851,1.851,1.846,1.846,1.846,1.865,1.865,1.896,1.896,1.904,1.904,1.921,1.998,2.029,2.043,2.407,2.47,2.625,2.5,3.432,3.432,2.505,2.48,2.547,3.493,2.517,2.532,2.546,2.546,2.559,2.572,2.576,2.576,2.512,2.534,5.2,2.504,2.453,1.114,1.114,1.114,1.375,0.962,1.535,1.535,1.209,1.004,3.582,0.871,0.871,0.812,0.797,0.797,1.268,1.255,1.355,1.336,1.307,1.297,1.297,1.355,1.355,1.355,1.392,1.392,1.425,1.418,1.434,1.467,1.47,1.47,1.47,1.47,1.499,1.555,1.576,1.585,1.591,1.603,1.619,1.638,1.665,1.665,1.782,1.694,1.743,1.776,1.819,2.435,1.82,1.865,1.846,1.965,1.965,1.8,1.8,1.8,1.8,1.743,1.86,1.86,1.903,1.903,1.903,1.903,1.903,1.949,1.966,1.991,1.991,1.991,2.03,2.008,2.008,2.058,2.093,2.106,1.533,2.093,2.093,2.093,2.123,2.153,2.153,5.327,5.327,5.327,5.327,5.327,4.745,5.265,4.246,1.691,4.538,4.538,4.151,4.151,4.151,4.151,4.151,4.151,4.151,2.932,3.393,3.406,3.396,3.545,3.383,2.759,2.842,11.681
Point_8,10.004,0.051,0.549,0.549,0.549,0.042,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.019,0.019,0.015,0.035,0.035,0.035,1.257,1.257,1.257,1.276,1.273,1.368,1.368,1.257,1.397,1.397,1.397,1.513,1.513,1.513,1.397,1.373,1.477,1.444,2.275,1.444,1.444,1.444,2.19,2.19,1.444,1.444,1.444,1.502,2.122,1.542,1.898,1.898,1.851,1.851,1.846,1.846,1.846,1.865,1.865,1.896,1.896,1.904,1.904,1.921,1.998,2.029,2.043,2.407,2.47,2.625,2.5,3.432,3.432,2.505,2.48,2.547,3.493,2.517,2.532,2.546,2.546,2.559,2.572,2.576,2.576,2.512,2.534,5.2,2.504,2.453,1.114,1.114,1.114,1.375,0.962,1.535,1.535,1.209,1.004,3.582,0.871,0.871,0.812,0.797,0.797,1.268,1.255,1.355,1.336,1.307,1.297,1.297,1.355,1.355,1.355,1.392,1.392,1.425,1.418,1.434,1.467,1.47,1.47,1.47,1.47,1.499,1.555,1.576,1.585,1.591,1.603,1.619,1.638,1.665,1.665,1.782,1.694,1.743,1.776,1.819,2.435,1.82,1.865,1.846,1.965,1.965,1.8,1.8,1.8,1.8,1.743,1.86,1.86,1.903,1.903,1.903,1.903,1.903,1.949,1.966,1.991,1.991,1.991,2.03,2.008,2.008,2.058,2.093,2.106,1.533,2.093,2.093,2.093,2.123,2.153,2.153,5.327,5.327,5.327,5.327,5.327,4.745,5.265,4.246,1.691,4.538,4.538,4.151,4.151,4.151,4.151,4.151,4.151,4.151,2.932,3.393,3.406,3.396,3.545,3.383,2.759,2.842,11.681
Point_9,10.004,0.051,0.549,0.549,0.549,0.042,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.019,0.019,0.015,0.035,0.035,0.035,1.257,1.257,1.257,1.276,1.273,1.368,1.368,1.257,1.397,1.397,1.397,1.513,1.513,1.513,1.397,1.373,1.477,1.444,2.275,1.444,1.444,1.444,2.19,2.19,1.444,1.444,1.444,1.502,2.122,1.542,1.898,1.898,1.851,1.851,1.846,1.846,1.846,1.865,1.865,1.896,1.896,1.904,1.904,1.921,1.998,2.029,2.043,2.407,2.47,2.625,2.5,3.432,3.432,2.505,2.48,2.547,3.493,2.517,2.532,2.546,2.546,2.559,2.572,2.576,2.576,2.512,2.534,5.2,2.504,2.453,1.114,1.114,1.114,1.375,0.962,1.535,1.535,1.209,1.004,3.582,0.871,0.871,0.812,0.797,0.797,1.268,1.255,1.355,1.336,1.307,1.297,1.297,1.355,1.355,1.355,1.392,1.392,1.425,1.418,1.434,1.467,1.47,1.47,1.47,1.47,1.499,1.555,1.576,1.585,1.591,1.603,1.619,1.638,1.665,1.665,1.782,1.694,1.743,1.776,1.819,2.435,1.82,1.865,1.846,1.965,1.965,1.8,1.8,1.8,1.8,1.743,1.86,1.86,1.903,1.903,1.903,1.903,1.903,1.949,1.966,1.991,1.991,1.991,2.03,2.008,2.008,2.058,2.093,2.106,1.533,2.093,2.093,2.093,2.123,2.153,2.153,5.327,5.327,5.327,5.327,5.327,4.745,5.265,4.246,1.691,4.538,4.538,4.151,4.151,4.151,4.151,4.151,4.151,4.151,2.932,3.393,3.406,3.396,3.545,3.383,2.759,2.842,11.681
Point_10,10.004,0.051,0.549,0.549,0.549,0.042,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.019,0.019,0.015,0.035,0.035,0.035,1.257,1.257,1.257,1.276,1.273,1.368,1.368,1.257,1.397,1.397,1.397,1.513,1.513,1.513,1.397,1.373,1.477,1.444,2.275,1.444,1.444,1.444,2.19,2.19,1.444,1.444,1.444,1.502,2.122,1.542,1.898,1.898,1.851,1.851,1.846,1.846,1.846,1.865,1.865,1.896,1.896,1.904,1.904,1.921,1.998,2.029,2.043,2.407,2.47,2.625,2.5,3.432,3.432,2.505,2.48,2.547,3.493,2.517,2.532,2.546,2.546,2.559,2.572,2.576,2.576,2.512,2.534,5.2,2.504,2.453,1.114,1.114,1.114,1.375,0.962,1.535,1.535,1.209,1.004,3.582,0.871,0.871,0.812,0.797,0.797,1.268,1.255,1.355,1.336,1.307,1.297,1.297,1.355,1.355,1.355,1.392,1.392,1.425,1.418,1.434,1.467,1.47,1.47,1.47,1.47,1.499,1.555,1.576,1.585,1.591,1.603,1.619,1.638,1.665,1.665,1.782,1.694,1.743,1.776,1.819,2.435,1.82,1.865,1.846,1.965,1.965,1.8,1.8,1.8,1.8,1.743,1.86,1.86,1.903,1.903,1.903,1.903,1.903,1.949,1.966,1.991,1.991,1.991,2.03,2.008,2.008,2.058,2.093,2.106,1.533,2.093,2.093,2.093,2.123,2.153,2.153,5.327,5.327,5.327,5.327,5.327,4.745,5.265,4.246,1.691,4.538,4.538,4.151,4.151,4.151,4.151,4.151,4.151,4.151,2.932,3.393,3.406,3.396,3.545,3.383,2.759,2.842,11.681
