hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
711075225638.8047,239.29622268382917,0.957938941523415,9,QIEA,0,E-n101-k8,1.7914278507232666
510348619894.1216,186.13929203766585,0.9635794478021253,17,QIEA,1,E-n101-k8,1.849395990371704
587143693017.7188,218.30374649139762,0.9715816420109391,11,QIEA,2,E-n101-k8,1.8559625148773193
678675281068.7294,97.45113042268981,0.9313787596870474,18,NSGA-II,0,E-n101-k8,0.8668642044067383
824016483331.2443,39.33407291105016,0.8169160044315712,26,NSGA-II,1,E-n101-k8,0.8693907260894775
1030938746528.1726,69.82215003293344,0.8828263434060213,18,NSGA-II,2,E-n101-k8,0.8739702701568604
736665750812.6658,65.4568886902491,0.9146155388479855,33,SPEA2,0,E-n101-k8,1.0511674880981445
947077428586.53,103.57167116122811,0.904450304884002,48,SPEA2,1,E-n101-k8,1.0670433044433594
888236878469.1897,51.43270199219213,0.8211181941886555,40,SPEA2,2,E-n101-k8,1.071561336517334
2823916789597.407,0.0,1.0,65,MOEA/D,0,E-n101-k8,3.631817102432251
1879978988621.8499,18.681084679481174,1.1391537666669231,41,MOEA/D,1,E-n101-k8,3.6503918170928955
2711077341729.1226,12.607301488230265,1.0918830386829264,26,MOEA/D,2,E-n101-k8,3.663186550140381
2471508438394.834,93.22872964213774,0.8449955844040341,14,RVEA,0,E-n101-k8,1.310969352722168
2731275803076.125,49.06983294880366,0.8173446370786341,8,RVEA,1,E-n101-k8,1.3004224300384521
1835244281677.7292,48.44077394231213,0.8472916668365804,16,RVEA,2,E-n101-k8,1.3009800910949707
