hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
60356108303570.0,17.112543933660362,0.8682767652993387,9,QIEA,0,M-n200-k16,21.379422426223755
68600860977280.0,85.429938044454,0.9463523869317136,11,QIEA,1,M-n200-k16,24.581339597702026
70645705029440.75,2269.607621496549,1.0824369230929682,6,QIEA,2,M-n200-k16,24.1124746799469
64606136518560.0,158.19953862436807,0.9878583121930368,9,QIEA,3,M-n200-k16,24.42518901824951
75631122937199.0,463.7512432038076,1.0938004528953993,8,QIEA,4,M-n200-k16,24.204369068145752
72339507016881.36,49.782873270130004,0.9814952550025042,13,QIEA,5,M-n200-k16,23.969907999038696
68237215424156.0,95.66915530065621,0.972748739841711,9,QIEA,6,M-n200-k16,23.992833137512207
92670706144864.0,27.554178205092718,0.9000496553319454,9,QIEA,7,M-n200-k16,24.046615839004517
68389546111816.375,198.12890074551606,0.9746917927086849,5,QIEA,8,M-n200-k16,23.904815435409546
62492587945639.75,298.2834932660168,0.9845859796185816,11,QIEA,9,M-n200-k16,24.01741337776184
59113016742848.0,210.86011388523468,1.0674149353952336,11,QIEA,10,M-n200-k16,23.835166215896606
75571365576002.0,266.24157161304083,1.0172326406194812,9,QIEA,11,M-n200-k16,24.33980441093445
54223182644512.0,273.79596479733334,1.0497172894704623,10,QIEA,12,M-n200-k16,24.096248149871826
73500696332612.0,163.04620004841576,1.0344675677697963,10,QIEA,13,M-n200-k16,24.375995635986328
58393742410407.0,271.39750815295497,1.0336471836558958,8,QIEA,14,M-n200-k16,24.448824167251587
77122700965446.89,143.75093309336955,1.0034958588949565,13,QIEA,15,M-n200-k16,23.10643196105957
79482300119689.0,67.71777118480564,0.9733859833616911,8,QIEA,16,M-n200-k16,23.197250843048096
52112068997120.0,349.6389145660836,1.058932844307059,11,QIEA,17,M-n200-k16,22.9267361164093
76848562406760.0,51.14601304723164,0.8013057573997142,10,QIEA,18,M-n200-k16,22.267097234725952
62404650610272.0,14.264504337226478,0.9198484627641724,11,QIEA,19,M-n200-k16,22.56178116798401
64108527530265.57,2241.9888320830423,1.1285937060411648,15,QIEA,20,M-n200-k16,22.805189847946167
69040168485088.0,184.8348535185981,1.0042868651937218,12,QIEA,21,M-n200-k16,21.640501737594604
74742741007010.38,2896.5801797941444,1.0854096352846456,5,QIEA,22,M-n200-k16,21.390740633010864
56451568922878.586,24.237373829982754,0.9248178333637828,19,QIEA,23,M-n200-k16,21.97905397415161
65410956346989.69,319.2895569474155,1.022413020102349,4,QIEA,24,M-n200-k16,21.681056022644043
64138225109744.0,314.73149991236363,1.0232209028041157,11,QIEA,25,M-n200-k16,21.893246173858643
83237969380138.53,13.35252489903255,0.8270590622078874,13,QIEA,26,M-n200-k16,21.99485945701599
76433256733167.38,467.32949508864937,0.9923296373180327,9,QIEA,27,M-n200-k16,22.174997091293335
88899004990760.0,180.87253271001518,1.0180552124071653,11,QIEA,28,M-n200-k16,22.050713300704956
