hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
4355414000.0471945,256.540005285891,1.0815949897563708,24,QIEA,0,route3_202,39.214412212371826
5867010260.229124,148.8448504422995,0.9978870593144716,26,QIEA,1,route3_202,22.753515481948853
5929043349.684046,779.1848350739169,1.094438661886514,15,QIEA,2,route3_202,22.378968238830566
3756141999.9033203,376.83350408330335,1.0284632951729895,12,QIEA,3,route3_202,23.261736392974854
3871649000.1545753,600.3633296016734,1.1090026907542865,24,QIEA,4,route3_202,22.544740438461304
5311495326.024008,94.1557261484569,1.028305607008456,18,QIEA,5,route3_202,22.19906759262085
4557284372.203813,437.1496702466089,1.1149448793435224,21,QIEA,6,route3_202,22.687304735183716
3349143530.5828495,162.56240101243122,1.036634768476276,28,QIEA,7,route3_202,22.68522834777832
5916726244.606712,455.4934464084502,1.0757993042978997,15,QIEA,8,route3_202,22.534054279327393
5194617867.982006,397.6760083985095,1.1070246897834972,33,QIEA,9,route3_202,22.852983713150024
3413492963.226608,338.93933225045726,1.0714867946428557,22,QIEA,10,route3_202,22.568916082382202
2706617175.95133,44.07991240881352,0.9116612224180739,27,QIEA,11,route3_202,22.666258573532104
6523763219.524275,50.978523630096426,0.9546455794298239,19,QIEA,12,route3_202,22.563000679016113
3436931772.2277884,207.14856186118246,1.0701387350515854,26,QIEA,13,route3_202,22.42359161376953
2406647702.4097123,169.7374774826951,1.020561399242117,34,QIEA,14,route3_202,22.478367567062378
3147432857.432047,234.92192595412104,1.0577796928439953,34,QIEA,15,route3_202,21.37853240966797
3830881500.1518855,556.0830683429957,1.1081739587414157,20,QIEA,16,route3_202,20.802471160888672
6504911303.152553,339.46439785731167,1.1012408717613513,31,QIEA,17,route3_202,20.827459573745728
6857838756.109909,511.27963311167775,1.0869859241160391,17,QIEA,18,route3_202,20.684385776519775
5620837235.846715,490.42443732497276,1.0921912516250363,19,QIEA,19,route3_202,20.71808886528015
4302621560.905731,460.0734450391783,1.0829680393599908,32,QIEA,20,route3_202,20.507052659988403
3200480923.060976,176.49374822978584,1.0580557061938214,20,QIEA,21,route3_202,20.684468507766724
2949245848.7209153,105.32805218394765,1.0396798514421917,18,QIEA,22,route3_202,19.723510026931763
5796932724.2762165,90.48376561796937,1.0125592716202692,20,QIEA,23,route3_202,19.490171432495117
3815223737.291886,66.87739476666874,1.0313689453457366,28,QIEA,24,route3_202,19.329966068267822
2441852305.1459827,318.6842747038687,1.0463677267234244,26,QIEA,25,route3_202,19.72469711303711
4145407964.2193604,119.49563128892753,1.0373167910468355,23,QIEA,26,route3_202,19.749993801116943
3888830132.34294,29.32938657386991,0.9778269197962235,28,QIEA,27,route3_202,19.76177978515625
3840364011.940851,278.42776761667966,1.089846502560864,23,QIEA,28,route3_202,19.725155115127563
4237200455.813191,41.973171393101765,0.9922223189424428,24,QIEA,29,route3_202,19.638540267944336
5979776074.628583,30.250481949724602,0.9079688554982928,76,NSGA-II,0,route3_202,17.25205421447754
8416178021.563198,15.529199689239203,0.7913709555757868,80,NSGA-II,1,route3_202,12.566316366195679
8479489400.879456,29.045496984830837,0.9417620692832559,74,NSGA-II,2,route3_202,12.747832775115967
6596354724.473855,15.473571354920246,0.8551313058170926,80,NSGA-II,3,route3_202,13.047487258911133
7927169005.554575,111.97236553131204,0.9819095113918929,80,NSGA-II,4,route3_202,12.624365329742432
8122439737.077358,28.144315726880876,0.9539756249898469,67,NSGA-II,5,route3_202,12.489115715026855
12526666055.2765,105.54322117621597,0.9589607525827235,80,NSGA-II,6,route3_202,12.912354707717896
8897480508.94323,25.788978993400683,0.9174067182067045,80,NSGA-II,7,route3_202,12.770758867263794
8919459151.851692,20.364743459320476,0.923298568175618,80,NSGA-II,8,route3_202,12.92699384689331
10660588373.176157,20.103854331017324,0.9379213757529142,80,NSGA-II,9,route3_202,12.78221321105957
10250736726.70713,31.877208049115186,0.981691855227122,79,NSGA-II,10,route3_202,12.652074098587036
9185579198.073372,20.55346216742768,0.910305025441791,80,NSGA-II,11,route3_202,12.690486192703247
8865166272.368187,23.08137055837771,0.9510042743549217,61,NSGA-II,12,route3_202,12.61331582069397
8746127283.933838,177.8379319374384,1.0320051469792404,53,NSGA-II,13,route3_202,12.519389867782593
10575857164.618065,21.334347834201207,0.8514314656627049,80,NSGA-II,14,route3_202,12.635565996170044
9082900684.72509,33.73068502082768,0.9273023721124043,80,NSGA-II,15,route3_202,11.571413040161133
7837467826.691629,31.38035411643272,0.8790796578492676,80,NSGA-II,16,route3_202,11.666199207305908
9554157216.759087,44.76072841202447,0.9661921751132425,66,NSGA-II,17,route3_202,11.517070531845093
10524055087.999163,14.902190910542053,0.9131547340886444,73,NSGA-II,18,route3_202,11.498213052749634
7529006138.154946,25.544566544825557,0.9273796296514912,80,NSGA-II,19,route3_202,11.646454811096191
7238423873.207684,14.207632475272757,0.8847251222100766,80,NSGA-II,20,route3_202,11.462569236755371
9803257921.33641,17.506861475507492,0.8707421206417828,80,NSGA-II,21,route3_202,11.267485618591309
10369521078.45039,62.32322700786675,0.9204751820801601,78,NSGA-II,22,route3_202,10.911298036575317
9329541157.962898,20.323687209182673,0.9631372116757004,71,NSGA-II,23,route3_202,10.971747875213623
10907878343.100794,35.247902581068494,0.9682616615243405,49,NSGA-II,24,route3_202,11.134366035461426
9264528162.411335,47.95241662374198,0.9767826851236551,49,NSGA-II,25,route3_202,10.86515212059021
10566267677.23172,13.66387970120838,0.9521391158128146,80,NSGA-II,26,route3_202,10.980899333953857
8626716246.175907,21.028358570720194,0.8466611352745382,80,NSGA-II,27,route3_202,10.87881064414978
9597008219.780388,36.24742826138087,0.9255705505467495,79,NSGA-II,28,route3_202,11.085481643676758
6267421971.140333,23.04694174782082,0.8974705275263778,80,NSGA-II,29,route3_202,10.807563543319702
8947616451.703388,35.78096489819189,0.8516989704661274,80,SPEA2,0,route3_202,14.067058801651001
10221002365.987396,20.62366607982175,0.8544559218447094,80,SPEA2,1,route3_202,13.957695245742798
9473794076.781837,42.96251010787859,0.9580219952289283,70,SPEA2,2,route3_202,14.083491802215576
12024569268.567665,32.375256378685826,0.8996446702205614,80,SPEA2,3,route3_202,14.293514251708984
8647215354.002104,33.01827687111277,0.9181797108752222,53,SPEA2,4,route3_202,14.152848958969116
10137833233.362469,59.96832596624714,0.9587146326075368,80,SPEA2,5,route3_202,14.432985782623291
9719268520.222172,30.856661855639434,0.895872724037438,80,SPEA2,6,route3_202,14.248767137527466
9978271197.705746,15.624682843133236,0.8242475391850799,77,SPEA2,7,route3_202,14.121125936508179
11187179600.792683,13.24287637209334,0.9054656112792021,80,SPEA2,8,route3_202,14.203660011291504
9283062013.366001,48.81278792436506,0.9730939462252336,49,SPEA2,9,route3_202,14.109610795974731
7874527145.73983,39.399307473889905,0.8149589117827509,80,SPEA2,10,route3_202,14.195960998535156
8885433463.439383,13.602122549560937,0.8210138090141197,75,SPEA2,11,route3_202,14.262001514434814
10485174271.044205,21.03198587292805,0.7645085313420574,80,SPEA2,12,route3_202,14.08211088180542
11460179902.347767,27.619538884713016,0.9178950940799967,66,SPEA2,13,route3_202,14.061200857162476
9764150390.036823,27.276168238933284,0.9414497101757412,42,SPEA2,14,route3_202,13.900156021118164
12684299993.8176,16.586480433051186,0.8822802756252068,72,SPEA2,15,route3_202,12.882912874221802
12623149777.806202,19.63516202944732,0.8815697096468762,61,SPEA2,16,route3_202,12.955441951751709
7906772716.136984,195.7571124489847,1.0158891037101199,80,SPEA2,17,route3_202,12.912029027938843
9291747355.439663,30.11494134265248,0.81667586646133,80,SPEA2,18,route3_202,12.922617435455322
10512984364.71976,19.475609069793705,0.9001936600181951,80,SPEA2,19,route3_202,12.913012027740479
9926030658.146423,35.946405013543966,0.838245653900637,80,SPEA2,20,route3_202,12.91792631149292
8622304023.138353,13.98740951131428,0.7857442439881841,79,SPEA2,21,route3_202,12.586355686187744
12433874470.777906,36.26804485856631,0.9426903362886244,62,SPEA2,22,route3_202,12.28290057182312
7924391229.004978,20.077777205237517,0.901610739933056,75,SPEA2,23,route3_202,12.45034146308899
9528472139.781143,15.09840072099866,0.8947567967487425,56,SPEA2,24,route3_202,12.400341272354126
8849188740.892317,36.263675499070054,0.9248890538123317,80,SPEA2,25,route3_202,12.381675720214844
9192293826.452515,17.725990914745683,0.8371769456743655,80,SPEA2,26,route3_202,12.478055000305176
7788436278.539528,43.98685011925834,0.8447820771316557,80,SPEA2,27,route3_202,12.411779880523682
10367202007.062021,18.839975407868387,0.8511219605070204,80,SPEA2,28,route3_202,12.288750648498535
11631898159.648666,26.19815198597463,0.8191233797876883,80,SPEA2,29,route3_202,12.36915397644043
13094294246.032818,0.0,1.0,64,MOEA/D,0,route3_202,41.792397260665894
