instance,n_partitions,H,algorithm,hv_mean,hv_std,time_s_mean,best_baseline,qiea_ratio_to_best
A-n32-k5,3,35,QIEA,1226526203534.6157,312252701265.29626,2.526909923553467,NSGA-II,0.4568805001453272
A-n32-k5,3,35,NSGA-II,2684566759020.083,274349248459.49423,1.5599512577056884,NSGA-II,0.4568805001453272
A-n32-k5,3,35,SPEA2,2495939639917.3994,399047707450.6573,1.7650530815124512,NSGA-II,0.4568805001453272
A-n32-k5,3,35,MOEA/D,2274823399995.116,320307376188.1188,5.400656890869141,NSGA-II,0.4568805001453272
A-n32-k5,3,35,RVEA,2649113703246.0283,345451678079.6436,1.4426472663879395,NSGA-II,0.4568805001453272
A-n32-k5,4,70,QIEA,1352586593880.6953,212113459594.66302,5.6453227519989015,SPEA2,0.40789274860769525
A-n32-k5,4,70,NSGA-II,2738705007847.9307,323807677986.31866,3.3132160663604737,SPEA2,0.40789274860769525
A-n32-k5,4,70,SPEA2,3316034909906.1616,248431098402.3732,4.406559801101684,SPEA2,0.40789274860769525
A-n32-k5,4,70,MOEA/D,2017855219216.612,336706331843.9634,12.073777341842652,SPEA2,0.40789274860769525
A-n32-k5,4,70,RVEA,2635714122596.6343,354582103991.098,3.091802406311035,SPEA2,0.40789274860769525
A-n32-k5,5,126,QIEA,1658502318742.27,272314822446.81485,9.667857933044434,NSGA-II,0.5201131723197339
A-n32-k5,5,126,NSGA-II,3188733543019.6025,340382350452.3258,5.605713319778443,NSGA-II,0.5201131723197339
A-n32-k5,5,126,SPEA2,3113265910634.6714,301746266684.7394,9.090321493148803,NSGA-II,0.5201131723197339
A-n32-k5,5,126,MOEA/D,2144503240788.3516,237241516873.40472,21.752592277526855,NSGA-II,0.5201131723197339
A-n32-k5,5,126,RVEA,2715433962386.359,74762060591.21611,5.12450942993164,NSGA-II,0.5201131723197339
A-n32-k5,6,210,QIEA,1590156900119.4624,375961735509.15216,16.19263529777527,SPEA2,0.4616499725736461
A-n32-k5,6,210,NSGA-II,3162744274790.6616,358996830876.9501,9.383571195602418,SPEA2,0.4616499725736461
A-n32-k5,6,210,SPEA2,3444507732242.501,184230547001.93512,18.337254285812378,SPEA2,0.4616499725736461
A-n32-k5,6,210,MOEA/D,2409937583711.7065,47144156961.97579,36.909906482696535,SPEA2,0.4616499725736461
A-n32-k5,6,210,RVEA,3042104080595.214,288504582543.47925,8.646373462677001,SPEA2,0.4616499725736461
A-n32-k5,7,330,QIEA,1935909730535.2258,273525842854.8337,25.336726427078247,SPEA2,0.5357458456650719
A-n32-k5,7,330,NSGA-II,3540071321164.8857,251255694385.3049,15.065313863754273,SPEA2,0.5357458456650719
A-n32-k5,7,330,SPEA2,3613485286352.521,136398707981.87431,36.810912466049196,SPEA2,0.5357458456650719
A-n32-k5,7,330,MOEA/D,2420228416413.49,166737988260.27524,58.00552678108215,SPEA2,0.5357458456650719
A-n32-k5,7,330,RVEA,2713038206475.1626,265330347097.67755,14.026477527618407,SPEA2,0.5357458456650719
A-n32-k5,8,495,QIEA,2217545015942.332,172754181838.82635,37.64854388236999,SPEA2,0.6164658959163644
A-n32-k5,8,495,NSGA-II,3476487111239.991,110354907321.36052,23.94707489013672,SPEA2,0.6164658959163644
A-n32-k5,8,495,SPEA2,3597190097022.31,72804469987.4645,76.73417873382569,SPEA2,0.6164658959163644
A-n32-k5,8,495,MOEA/D,2233053142163.685,263649993244.21628,86.70170454978943,SPEA2,0.6164658959163644
A-n32-k5,8,495,RVEA,3100601696302.7173,219905078180.00333,21.576766443252563,SPEA2,0.6164658959163644
