instance,n_partitions,H,algorithm,hv_mean,hv_std,time_s_mean,best_baseline,qiea_ratio_to_best
E-n101-k8,3,35,QIEA,3772495762084.3193,871199437266.0365,3.627184343338013,MOEA/D,0.24147751208022475
E-n101-k8,3,35,NSGA-II,5963450615138.574,898584208006.3485,2.8040116310119627,MOEA/D,0.24147751208022475
E-n101-k8,3,35,SPEA2,7063071539511.862,664766602490.3232,3.1180716514587403,MOEA/D,0.24147751208022475
E-n101-k8,3,35,MOEA/D,15622555200216.754,1336699758407.2854,7.335236406326294,MOEA/D,0.24147751208022475
E-n101-k8,3,35,RVEA,12470067731582.568,1302224101752.0361,2.7049100399017334,MOEA/D,0.24147751208022475
E-n101-k8,4,70,QIEA,4449244064523.339,1339174868283.757,7.792651176452637,RVEA,0.25017895881208
E-n101-k8,4,70,NSGA-II,8326233539097.005,403294034945.79626,5.82360610961914,RVEA,0.25017895881208
E-n101-k8,4,70,SPEA2,9046046821015.322,1788592316557.8066,7.06300458908081,RVEA,0.25017895881208
E-n101-k8,4,70,MOEA/D,15318586381999.465,1420616960333.152,15.800667238235473,RVEA,0.25017895881208
E-n101-k8,4,70,RVEA,17784245668179.29,763562631574.8729,5.606117916107178,RVEA,0.25017895881208
E-n101-k8,5,126,QIEA,6238027591355.2,910571585237.6907,13.71075382232666,RVEA,0.32329198736387754
E-n101-k8,5,126,NSGA-II,10879364134929.79,1332866294730.6458,10.481897926330566,RVEA,0.32329198736387754
E-n101-k8,5,126,SPEA2,10138475411488.213,1015428257609.6974,13.977981233596802,RVEA,0.32329198736387754
E-n101-k8,5,126,MOEA/D,19118341942144.79,1705617773884.554,26.770470237731935,RVEA,0.32329198736387754
E-n101-k8,5,126,RVEA,19295336213619.363,2181769963828.7112,9.653791904449463,RVEA,0.32329198736387754
E-n101-k8,6,210,QIEA,7034939124783.267,1795261789332.075,23.128003072738647,RVEA,0.3231296370032586
E-n101-k8,6,210,NSGA-II,10964748855590.26,811131267941.3948,17.741082000732423,RVEA,0.3231296370032586
E-n101-k8,6,210,SPEA2,11807000134236.178,1153224354209.5317,26.978310680389406,RVEA,0.3231296370032586
E-n101-k8,6,210,MOEA/D,21537653601375.78,3443464741062.11,46.45702304840088,RVEA,0.3231296370032586
E-n101-k8,6,210,RVEA,21771259331165.35,4065050588055.9595,16.234783840179443,RVEA,0.3231296370032586
E-n101-k8,7,330,QIEA,8240636597192.217,1719103741690.353,36.33036785125732,RVEA,0.33880412947161404
E-n101-k8,7,330,NSGA-II,11512867280313.506,1089302309055.233,28.594715976715086,RVEA,0.33880412947161404
E-n101-k8,7,330,SPEA2,12959112157082.898,1157328319495.7866,50.09296407699585,RVEA,0.33880412947161404
E-n101-k8,7,330,MOEA/D,21935299527582.574,1603816854992.3574,72.63633041381836,RVEA,0.33880412947161404
E-n101-k8,7,330,RVEA,24322715930422.688,1517418168257.4495,26.645474576950072,RVEA,0.33880412947161404
E-n101-k8,8,495,QIEA,6554708908441.567,773539718353.7352,51.2806499004364,MOEA/D,0.2503276267273752
E-n101-k8,8,495,NSGA-II,12557681544204.834,1108205151775.257,42.24040985107422,MOEA/D,0.2503276267273752
E-n101-k8,8,495,SPEA2,14278251233010.38,1189965050430.5242,90.20955195426941,MOEA/D,0.2503276267273752
E-n101-k8,8,495,MOEA/D,26184520638547.49,1967493411574.8284,99.74487209320068,MOEA/D,0.2503276267273752
E-n101-k8,8,495,RVEA,24376259232715.875,1698618649313.7012,38.42103838920593,MOEA/D,0.2503276267273752
