instance,n_partitions,H,algorithm,hv_mean,hv_std,time_s_mean,best_baseline,qiea_ratio_to_best
route2_199,3,35,QIEA,1414873655.9361145,682856648.6493702,5.247748994827271,MOEA/D,0.49940682670037595
route2_199,3,35,NSGA-II,2113455963.7047114,443297694.7267667,4.392824268341064,MOEA/D,0.49940682670037595
route2_199,3,35,SPEA2,2632217531.9044642,437870299.43653065,4.815377521514892,MOEA/D,0.49940682670037595
route2_199,3,35,MOEA/D,2833108360.340821,585392405.9045559,9.391485691070557,MOEA/D,0.49940682670037595
route2_199,3,35,RVEA,1956652028.8722587,539541746.2625064,4.5825581550598145,MOEA/D,0.49940682670037595
route2_199,4,70,QIEA,1867092796.0388885,521192462.39088404,10.702157831192016,MOEA/D,0.5452702287305567
route2_199,4,70,NSGA-II,3205160495.186127,394460374.42684346,9.178111457824707,MOEA/D,0.5452702287305567
route2_199,4,70,SPEA2,3193144091.6767607,576366290.5974548,10.138357877731323,MOEA/D,0.5452702287305567
route2_199,4,70,MOEA/D,3424160531.165741,582265010.2371233,19.025520086288452,MOEA/D,0.5452702287305567
route2_199,4,70,RVEA,3213071229.5387297,329560395.63994795,8.929757738113404,MOEA/D,0.5452702287305567
route2_199,5,126,QIEA,1984397112.149674,87772249.88941267,19.000159883499144,MOEA/D,0.5018156067816054
route2_199,5,126,NSGA-II,3951536792.878853,487486107.3491671,16.44464178085327,MOEA/D,0.5018156067816054
route2_199,5,126,SPEA2,3915312971.4206457,349650755.141478,20.6287832736969,MOEA/D,0.5018156067816054
route2_199,5,126,MOEA/D,3954434826.920999,391849986.7524665,34.250355339050294,MOEA/D,0.5018156067816054
route2_199,5,126,RVEA,3684303957.5444307,96431262.48810373,15.980761098861695,MOEA/D,0.5018156067816054
route2_199,6,210,QIEA,2040542412.7625709,366680256.38894,31.901302003860472,RVEA,0.41331778844411926
route2_199,6,210,NSGA-II,4599977955.275583,179447864.2323444,28.36857533454895,RVEA,0.41331778844411926
route2_199,6,210,SPEA2,4913021577.257883,438406769.6248056,38.14969358444214,RVEA,0.41331778844411926
route2_199,6,210,MOEA/D,4430479548.729457,731000885.3380579,55.93730425834656,RVEA,0.41331778844411926
route2_199,6,210,RVEA,4936981832.898908,499950041.6695863,26.014687156677248,RVEA,0.41331778844411926
route2_199,7,330,QIEA,2994376671.7647905,403927951.7216952,49.369215965270996,RVEA,0.5766320279298955
route2_199,7,330,NSGA-II,5071378680.388499,514710216.8346173,45.611576843261716,RVEA,0.5766320279298955
route2_199,7,330,SPEA2,5061891577.34012,605941610.7874107,67.02586278915405,RVEA,0.5766320279298955
route2_199,7,330,MOEA/D,5031362009.450641,1000295649.2399609,85.55319781303406,RVEA,0.5766320279298955
route2_199,7,330,RVEA,5192872623.66362,737449819.2053946,40.9709409236908,RVEA,0.5766320279298955
route2_199,8,495,QIEA,3201868649.0545926,904046986.4542412,65.05001764297485,RVEA,0.44226959459976434
route2_199,8,495,NSGA-II,5638588227.396916,341625206.9673463,64.97636446952819,RVEA,0.44226959459976434
route2_199,8,495,SPEA2,5756209662.708918,437892811.4752572,112.45139021873474,RVEA,0.44226959459976434
route2_199,8,495,MOEA/D,4863277923.847075,581905932.8824232,115.89066610336303,RVEA,0.44226959459976434
route2_199,8,495,RVEA,7239630958.470367,1370521834.2129157,58.654651165008545,RVEA,0.44226959459976434
