hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
437655386688.0825,614.3839114534385,1.0063536584288058,6,baseline,0,1.2568392753601074,10,0.35,0.02,0.05,default
789864681973.9766,452.51864491511003,1.0018812495814324,5,baseline,1,1.2635807991027832,10,0.35,0.02,0.05,default
1263235078812.0781,392.717075283946,1.047711121612056,7,baseline,2,1.2644360065460205,10,0.35,0.02,0.05,default
1247431931497.7383,380.28955879671196,1.01587751708904,5,baseline,3,1.2685039043426514,10,0.35,0.02,0.05,default
1475136223742.1328,506.433806281554,1.0404931184792705,6,baseline,4,1.26534104347229,10,0.35,0.02,0.05,default
604300895161.4541,635.9974366417604,1.0226324662679414,6,neighborhood_size=5,0,0.9006049633026123,5,0.35,0.02,0.05,default
1077208094161.6797,313.28030601065774,1.0369458440421127,8,neighborhood_size=5,1,0.8995018005371094,5,0.35,0.02,0.05,default
526090389056.3594,602.4475383973117,1.10022580104247,10,neighborhood_size=5,2,0.9068121910095215,5,0.35,0.02,0.05,default
1431500692108.503,715.2148221338505,1.105290857649104,13,neighborhood_size=5,3,0.9013590812683105,5,0.35,0.02,0.05,default
909876841198.2422,737.8926491564634,1.0910998334517523,8,neighborhood_size=5,4,0.9138357639312744,5,0.35,0.02,0.05,default
731896806179.9375,264.98022982509093,1.0052966051895513,12,neighborhood_size=15,0,1.6393795013427734,15,0.35,0.02,0.05,default
1126271422454.5625,484.3696303794894,1.0640566801402447,9,neighborhood_size=15,1,1.6396028995513916,15,0.35,0.02,0.05,default
862195957849.6787,294.2682564134294,0.9431311332231612,5,neighborhood_size=15,2,1.6425197124481201,15,0.35,0.02,0.05,default
816393026886.2969,333.16538159061867,1.046032544543571,10,neighborhood_size=15,3,1.6403934955596924,15,0.35,0.02,0.05,default
618515613705.5903,864.2926786297547,1.0377919627671823,6,neighborhood_size=15,4,1.6387255191802979,15,0.35,0.02,0.05,default
447977087292.03125,358.24225302519073,1.0797940873070662,11,neighborhood_size=20,0,2.0164055824279785,20,0.35,0.02,0.05,default
1102447796516.0234,328.1548012096819,1.0142182208534818,8,neighborhood_size=20,1,2.013544797897339,20,0.35,0.02,0.05,default
1016603910722.8643,242.8652889238983,0.9476170279241732,5,neighborhood_size=20,2,1.984288215637207,20,0.35,0.02,0.05,default
760950700890.8125,124.02458974309214,0.9835616116549425,10,neighborhood_size=20,3,1.9848604202270508,20,0.35,0.02,0.05,default
1243030351443.6562,710.9734577950372,1.0499273355068837,4,neighborhood_size=20,4,1.9756505489349365,20,0.35,0.02,0.05,default
1336391979631.0078,332.78361484580785,1.0591809132804186,8,neighborhood_size=30,0,2.7118825912475586,30,0.35,0.02,0.05,default
542765268910.068,984.1760996810115,1.0409194071293562,4,neighborhood_size=30,1,2.7232229709625244,30,0.35,0.02,0.05,default
609003106317.0781,319.06273971766956,1.023148842744441,8,neighborhood_size=30,2,2.7222185134887695,30,0.35,0.02,0.05,default
1140266540528.1562,197.83804978477264,1.0201237940895664,7,neighborhood_size=30,3,2.7213668823242188,30,0.35,0.02,0.05,default
872223347316.1675,953.0543221380076,1.0209236485819142,5,neighborhood_size=30,4,2.7164764404296875,30,0.35,0.02,0.05,default
738593231326.9062,358.85679936981603,1.010121352087535,8,neighborhood_size=50,0,4.174048900604248,50,0.35,0.02,0.05,default
919488483525.7422,651.4147590722874,1.0024019266594626,7,neighborhood_size=50,1,4.177707195281982,50,0.35,0.02,0.05,default
943657366175.8657,253.0073595128462,0.9760199128503121,4,neighborhood_size=50,2,4.179188251495361,50,0.35,0.02,0.05,default
