hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
1038225393319.4009,1020.9349519317487,1.0940758149100607,13,"noop(1.0,1.0)",0,1.8312814235687256,E-n101-k8,100
2318943670560.424,101.9554623394844,0.9978418561482477,14,"noop(1.0,1.0)",1,1.8058900833129883,E-n101-k8,100
1560540642654.0781,468.3761697824178,1.0405514093357988,4,"noop(1.0,1.0)",2,1.802544116973877,E-n101-k8,100
1638557367389.6562,1276.9614063312547,1.0817944134096733,10,"noop(1.0,1.0)",3,1.804919958114624,E-n101-k8,100
1633647034721.2969,374.6105891963268,1.0581178294832523,6,"noop(1.0,1.0)",4,1.8040640354156494,E-n101-k8,100
1049410902816.0046,928.171239535427,1.09195087582756,16,"mild(1.1,1.2)",0,1.8047969341278076,E-n101-k8,100
2277327182279.7437,100.4158407541646,1.0000557948526694,15,"mild(1.1,1.2)",1,1.8064470291137695,E-n101-k8,100
1421037200549.23,12.635808851610069,0.8686504675970327,18,"mild(1.1,1.2)",2,1.8041589260101318,E-n101-k8,100
1405496384419.8918,997.8400214874541,1.098231389663514,17,"mild(1.1,1.2)",3,1.8087894916534424,E-n101-k8,100
1705567540542.6953,380.31684105468804,1.063520324799875,6,"mild(1.1,1.2)",4,1.815293312072754,E-n101-k8,100
1039149477600.0786,954.9354610318015,1.1028463426517374,15,"moderate(1.3,1.5)",0,1.8121449947357178,E-n101-k8,100
2261190545274.004,106.84962347593905,1.004847412562949,13,"moderate(1.3,1.5)",1,1.8295228481292725,E-n101-k8,100
1470913714571.8594,74.48055343793173,0.9247590729013975,8,"moderate(1.3,1.5)",2,1.8049228191375732,E-n101-k8,100
1403982340241.9268,1187.6694010361105,1.1093125813274602,13,"moderate(1.3,1.5)",3,1.8091487884521484,E-n101-k8,100
1665629503205.3438,287.3515778941817,1.0322186778753835,9,"moderate(1.3,1.5)",4,1.8080544471740723,E-n101-k8,100
1036207728496.6008,924.9624152015525,1.0973880479495524,16,"strong(1.5,2.0)",0,1.8048250675201416,E-n101-k8,100
2239733523933.3657,105.34637169869059,0.9803790186981062,13,"strong(1.5,2.0)",1,1.8078210353851318,E-n101-k8,100
1586202232742.8438,25.184555199429752,0.8197963559155845,9,"strong(1.5,2.0)",2,1.803060531616211,E-n101-k8,100
1475075469451.6282,1065.227585987604,1.0768256093347368,13,"strong(1.5,2.0)",3,1.8105063438415527,E-n101-k8,100
1655111928919.4375,235.21147392220846,1.046894543538123,9,"strong(1.5,2.0)",4,1.807708501815796,E-n101-k8,100
1037464952021.7893,922.4567042095185,1.095571856141234,16,"stronger(2.0,3.0)",0,1.805748701095581,E-n101-k8,100
2237502163795.25,87.54051784429937,0.9241964538564,11,"stronger(2.0,3.0)",1,1.812211036682129,E-n101-k8,100
1230045021318.0625,405.9745926802864,1.067507477332356,10,"stronger(2.0,3.0)",2,1.836852788925171,E-n101-k8,100
2462348077658.75,1388.4460146732933,1.1010313385156272,10,"stronger(2.0,3.0)",3,1.8484158515930176,E-n101-k8,100
1706041321432.5312,273.24308077907887,0.9973105195415211,7,"stronger(2.0,3.0)",4,1.8435392379760742,E-n101-k8,100
1326567539340.1592,248.82493579572923,1.0357692042794537,17,"default(3.0,5.0)",0,1.844869613647461,E-n101-k8,100
2237502163795.25,87.54051784429937,0.9241964538564,11,"default(3.0,5.0)",1,1.8438465595245361,E-n101-k8,100
1567867304766.1206,41.26475707433146,0.9218528360994995,16,"default(3.0,5.0)",2,1.839172124862671,E-n101-k8,100
1193959633146.9307,948.2287235941767,1.0981899366514498,19,"default(3.0,5.0)",3,1.84812593460083,E-n101-k8,100
1699316814318.8828,278.66905623544704,0.9736500192952809,6,"default(3.0,5.0)",4,1.845198631286621,E-n101-k8,100
