hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
1522232973321.7014,1020.9349519317487,1.0940758149100607,13,"noop(1.0,1.0)",0,1.8452916145324707,E-n101-k8,100
2976884890085.498,101.9554623394844,0.9978418561482477,14,"noop(1.0,1.0)",1,1.8257360458374023,E-n101-k8,100
1985181046972.6602,468.3761697824178,1.0405514093357988,4,"noop(1.0,1.0)",2,1.819730520248413,E-n101-k8,100
2370536292164.4375,1276.9614063312547,1.0817944134096733,10,"noop(1.0,1.0)",3,1.8217008113861084,E-n101-k8,100
2174765734760.1797,374.6105891963268,1.0581178294832523,6,"noop(1.0,1.0)",4,1.8360700607299805,E-n101-k8,100
2176402864264.2031,1217.3751051393053,1.0914396285158996,8,"noop(1.0,1.0)",5,1.8372139930725098,E-n101-k8,100
1215258441196.725,522.4246328931104,1.0315762617158166,18,"noop(1.0,1.0)",6,1.8246595859527588,E-n101-k8,100
2689795811895.953,207.77637040636316,0.9941743447654813,7,"noop(1.0,1.0)",7,1.8244214057922363,E-n101-k8,100
1942582664798.75,1049.51842304782,1.08213729660519,9,"noop(1.0,1.0)",8,1.8275511264801025,E-n101-k8,100
2063210688984.1309,554.3383796929835,1.0568491586342545,5,"noop(1.0,1.0)",9,1.8282856941223145,E-n101-k8,100
2935356686224.4526,339.1091820277965,1.0619763178350479,14,"noop(1.0,1.0)",10,1.86257004737854,E-n101-k8,100
2633751864212.422,269.4573098899006,0.9844814989000388,6,"noop(1.0,1.0)",11,1.8501200675964355,E-n101-k8,100
2198951056834.75,395.95562065654553,1.057863300931369,8,"noop(1.0,1.0)",12,1.853883981704712,E-n101-k8,100
2127791215868.6055,263.6559883126323,0.9440814033502005,6,"noop(1.0,1.0)",13,1.901153326034546,E-n101-k8,100
2474069086903.0107,725.5479190535094,1.101569108780886,14,"noop(1.0,1.0)",14,1.851750373840332,E-n101-k8,100
1547256261320.2317,928.171239535427,1.09195087582756,16,"mild(1.1,1.2)",0,1.8403856754302979,E-n101-k8,100
2922346018895.29,100.4158407541646,1.0000557948526694,15,"mild(1.1,1.2)",1,1.8546483516693115,E-n101-k8,100
1799994219912.5908,12.635808851610069,0.8686504675970327,18,"mild(1.1,1.2)",2,1.846139907836914,E-n101-k8,100
2038835547045.5154,997.8400214874541,1.098231389663514,17,"mild(1.1,1.2)",3,1.901536464691162,E-n101-k8,100
2253873352617.953,380.31684105468804,1.063520324799875,6,"mild(1.1,1.2)",4,1.8671131134033203,E-n101-k8,100
2051192210604.375,699.951025995864,1.0713220675997128,10,"mild(1.1,1.2)",5,1.8591737747192383,E-n101-k8,100
1199443432832.1458,631.8927118628153,1.0399967923103262,18,"mild(1.1,1.2)",6,1.8670389652252197,E-n101-k8,100
2663188658259.8125,192.4239451022859,1.0322491352304473,9,"mild(1.1,1.2)",7,1.89534592628479,E-n101-k8,100
2005110090601.1616,1386.4867525872007,1.0327162267883747,4,"mild(1.1,1.2)",8,1.9013209342956543,E-n101-k8,100
2063210688984.1309,554.3383796929835,1.0568491586342545,5,"mild(1.1,1.2)",9,1.868459939956665,E-n101-k8,100
3435538310854.5,19.6752403267997,0.87784924123116,10,"mild(1.1,1.2)",10,1.8788208961486816,E-n101-k8,100
2633751864212.422,269.4573098899006,0.9844814989000388,6,"mild(1.1,1.2)",11,1.8642299175262451,E-n101-k8,100
2198951056834.75,395.95562065654553,1.057863300931369,8,"mild(1.1,1.2)",12,1.9167587757110596,E-n101-k8,100
1848189457684.961,340.9127760380863,1.0728938915447626,16,"mild(1.1,1.2)",13,1.868208885192871,E-n101-k8,100
2463957128040.375,803.8135128506859,1.0906634284583672,11,"mild(1.1,1.2)",14,1.835484266281128,E-n101-k8,100
