hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
960481619.6383002,166.85709589922305,1.0460108151786616,29,"noop(1.0,1.0)",0,2.5820789337158203,route2_199,198
870980212.2033237,573.9963983925669,1.1029534631788693,17,"noop(1.0,1.0)",1,2.552851438522339,route2_199,198
818545572.764466,62.85014047222406,1.0077357186825748,17,"noop(1.0,1.0)",2,2.5527966022491455,route2_199,198
1211363581.0119822,225.86480789855545,1.0505430293753157,22,"noop(1.0,1.0)",3,2.5518572330474854,route2_199,198
1281943416.0318341,386.01629770094,1.0787629298438703,19,"noop(1.0,1.0)",4,2.545537233352661,route2_199,198
960481619.6383002,166.85709589922305,1.0460108151786616,29,"mild(1.1,1.2)",0,2.518529176712036,route2_199,198
1028118895.0655518,673.987150195844,1.0910517945465177,12,"mild(1.1,1.2)",1,2.492910385131836,route2_199,198
538142301.7787668,107.59800712451329,1.0268337503797789,14,"mild(1.1,1.2)",2,2.4942514896392822,route2_199,198
1218951936.8245857,27.265335647878864,0.9732248782956646,20,"mild(1.1,1.2)",3,2.494213342666626,route2_199,198
1264320311.3740618,289.26769318987886,1.0850608713287366,33,"mild(1.1,1.2)",4,2.495964765548706,route2_199,198
960481619.6383002,166.85709589922305,1.0460108151786616,29,"moderate(1.3,1.5)",0,2.491724729537964,route2_199,198
838160118.6601434,570.7330376987924,1.1002367839109417,15,"moderate(1.3,1.5)",1,2.493011474609375,route2_199,198
723013060.972804,293.8615090776506,1.054797130096799,15,"moderate(1.3,1.5)",2,2.4943151473999023,route2_199,198
1198714174.5006316,28.21749848706991,0.9832768595112883,18,"moderate(1.3,1.5)",3,2.4978725910186768,route2_199,198
1408986902.963234,363.37597428381486,1.0745303528858798,20,"moderate(1.3,1.5)",4,2.4901392459869385,route2_199,198
960481619.6383002,166.85709589922305,1.0460108151786616,29,"strong(1.5,2.0)",0,2.4908595085144043,route2_199,198
813153569.9961045,409.69047865041074,1.0912288876281275,23,"strong(1.5,2.0)",1,2.4894683361053467,route2_199,198
642996845.1917057,310.12337224647445,1.0678684553651148,24,"strong(1.5,2.0)",2,2.4912848472595215,route2_199,198
1052273004.6768064,340.8274561355529,1.0801979073451087,17,"strong(1.5,2.0)",3,2.4894919395446777,route2_199,198
1523471579.5468612,377.9496066629389,1.066645030051232,18,"strong(1.5,2.0)",4,2.578911304473877,route2_199,198
960481619.6383002,166.85709589922305,1.0460108151786616,29,"stronger(2.0,3.0)",0,2.5764899253845215,route2_199,198
827941591.2158731,386.45083864325454,1.094993554099189,17,"stronger(2.0,3.0)",1,2.556455612182617,route2_199,198
526437337.8891887,175.56531760271812,0.9899433383411135,21,"stronger(2.0,3.0)",2,2.606529474258423,route2_199,198
914775565.711668,298.600373065989,1.0485152728044123,16,"stronger(2.0,3.0)",3,2.638678550720215,route2_199,198
1314263363.0729942,416.8207291596012,1.0569205411923064,13,"stronger(2.0,3.0)",4,2.598982095718384,route2_199,198
960481619.6383002,166.85709589922305,1.0460108151786616,29,"default(3.0,5.0)",0,2.5547287464141846,route2_199,198
718613908.7135824,394.2515316573767,1.0974955125058525,26,"default(3.0,5.0)",1,2.5563952922821045,route2_199,198
408199190.37961406,156.55407121044863,1.0123111092471901,13,"default(3.0,5.0)",2,2.556058406829834,route2_199,198
803469861.7382852,322.77109336592747,1.064172430023348,17,"default(3.0,5.0)",3,2.553528308868408,route2_199,198
1073661318.9702672,329.91269226422094,1.0842392899793674,25,"default(3.0,5.0)",4,2.549379587173462,route2_199,198
