hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,mutation_prob,n_partitions
2479252888183.8438,239.29622268382917,0.957938941523415,9,baseline,0,1.8403651714324951,10,0.05,5
1919878797292.3132,186.13929203766585,0.9635794478021253,17,baseline,1,1.840970754623413,10,0.05,5
2079610809219.75,218.30374649139762,0.9715816420109391,11,baseline,2,1.8501536846160889,10,0.05,5
1927856628985.4844,220.817881333433,0.9088066125675007,9,baseline,3,1.8345544338226318,10,0.05,5
1409480483111.7383,294.56370029669216,0.9571882858055024,6,baseline,4,1.8130111694335938,10,0.05,5
1249955057456.3706,43.46153483271443,0.8570577225488066,15,neighborhood_size=5,0,1.4620001316070557,5,0.05,5
1515138758400.1973,42.72437868114694,0.9134492462201432,5,neighborhood_size=5,1,1.4804370403289795,5,0.05,5
1216584450729.4897,459.8265625251013,0.9584019687814344,13,neighborhood_size=5,2,1.4497299194335938,5,0.05,5
1679623933213.3438,732.067753067092,1.0701891477762688,11,neighborhood_size=5,3,1.468947410583496,5,0.05,5
2167614717607.5713,1465.4708246687892,1.0677135882794886,4,neighborhood_size=5,4,1.4540629386901855,5,0.05,5
2302975496592.203,419.2656884613607,1.012991014347042,8,neighborhood_size=15,0,2.3484065532684326,15,0.05,5
1458754104740.9395,572.3213589679219,1.025843485950553,14,neighborhood_size=15,1,2.29178524017334,15,0.05,5
2160987315875.5923,665.841364062668,1.0693733804094336,14,neighborhood_size=15,2,2.232449531555176,15,0.05,5
1440918047002.125,664.1020490503448,1.0549431742022297,11,neighborhood_size=15,3,2.178110122680664,15,0.05,5
2798825763709.5,481.09152921876864,1.0114672097945305,6,neighborhood_size=15,4,2.2545242309570312,15,0.05,5
2414882237740.875,373.9162228295411,1.0597023959947216,10,neighborhood_size=20,0,2.871245861053467,20,0.05,5
2196178393627.582,1148.224682039233,1.0485359055758654,6,neighborhood_size=20,1,2.6755928993225098,20,0.05,5
2084541557580.3672,333.7550940768533,1.0210286435745475,7,neighborhood_size=20,2,2.6298880577087402,20,0.05,5
2178123512049.25,23.308411282973818,0.7663637430284083,11,neighborhood_size=20,3,2.6553471088409424,20,0.05,5
2176787620631.4688,262.12620699335133,0.9993290447123456,8,neighborhood_size=20,4,2.8001368045806885,20,0.05,5
1266769532095.7656,282.56921014267454,0.9952851528876722,9,neighborhood_size=30,0,3.5053679943084717,30,0.05,5
2217496500492.375,1000.118255019056,1.1156258856017778,11,neighborhood_size=30,1,3.6040265560150146,30,0.05,5
1699873113188.1196,245.44719931349007,0.9920671092374959,16,neighborhood_size=30,2,3.6759660243988037,30,0.05,5
2249912301761.399,186.48175968389324,0.9984879358471194,14,neighborhood_size=30,3,3.51853346824646,30,0.05,5
2060407861151.6406,877.5640990991382,1.0634358628922922,8,neighborhood_size=30,4,3.5287492275238037,30,0.05,5
