hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,mutation_prob,n_partitions
1395844605.8901367,148.40654795077842,0.9857456735911164,12,baseline,0,2.786372184753418,10,0.05,5
813399268.6156309,62.455419227869676,0.9666055531983585,26,baseline,1,2.8174233436584473,10,0.05,5
1037831271.6582257,242.9171876542146,1.028955664887264,27,baseline,2,2.9361348152160645,10,0.05,5
1035874465.7676492,274.5795362221242,1.0307643641215545,16,baseline,3,2.8926029205322266,10,0.05,5
1178993417.5303984,122.75154887976885,0.9787546302507786,22,baseline,4,2.868133306503296,10,0.05,5
1403305660.7852225,228.72385246970282,1.0280269921621035,19,neighborhood_size=5,0,2.4845213890075684,5,0.05,5
1129051391.7644958,169.35688563032647,0.9886166050949249,11,neighborhood_size=5,1,2.5125374794006348,5,0.05,5
1372879001.7375712,239.3230050403614,1.028240923446777,19,neighborhood_size=5,2,2.5268640518188477,5,0.05,5
979070879.1395175,63.870595963131265,0.9453117499542502,19,neighborhood_size=5,3,2.448410987854004,5,0.05,5
910093404.9012711,166.89513371069134,0.9943107083738962,29,neighborhood_size=5,4,2.5358951091766357,5,0.05,5
854104323.7592586,55.45757308629319,0.9366843178897323,21,neighborhood_size=15,0,3.22200083732605,15,0.05,5
1372100229.0811262,67.2199221459614,0.9466736887761702,23,neighborhood_size=15,1,3.2714593410491943,15,0.05,5
1428110796.142424,46.76797883487724,0.8451743261490577,16,neighborhood_size=15,2,3.3550899028778076,15,0.05,5
2263262884.396788,191.22346851354726,1.006471781814875,15,neighborhood_size=15,3,3.3196442127227783,15,0.05,5
1208299318.531449,104.4972294866691,0.9923371515334725,18,neighborhood_size=15,4,3.392317533493042,15,0.05,5
1214023114.91716,84.4323571211272,0.9618748331242191,16,neighborhood_size=20,0,3.6467719078063965,20,0.05,5
1855630065.786621,77.96579817748108,0.955981330207222,11,neighborhood_size=20,1,3.521702527999878,20,0.05,5
1394283355.165041,76.16599898460943,0.9430868540651433,16,neighborhood_size=20,2,3.299180507659912,20,0.05,5
1154294033.7015977,202.28013891593778,1.0334108372492983,21,neighborhood_size=20,3,3.348236322402954,20,0.05,5
1598113991.2172031,151.11489443684547,0.9894785772174219,18,neighborhood_size=20,4,3.576457977294922,20,0.05,5
1118359813.8571482,104.0854517356216,0.9657613639782181,24,neighborhood_size=30,0,4.0722901821136475,30,0.05,5
1088232387.0471203,154.39667739608993,0.9899634927256719,16,neighborhood_size=30,1,4.1726672649383545,30,0.05,5
1910087731.4871202,410.3907710614955,1.0904828233364854,20,neighborhood_size=30,2,4.224882125854492,30,0.05,5
1411027837.429576,357.03065088409113,1.0817896234186193,16,neighborhood_size=30,3,4.158967018127441,30,0.05,5
1216618418.051971,414.87701774946026,1.0686965829008819,18,neighborhood_size=30,4,4.1675684452056885,30,0.05,5
1402548040.3044434,50.85045852651341,0.9610637109896909,12,neighborhood_size=50,0,5.579374074935913,50,0.05,5
1171693133.9519687,128.38007899094887,1.009014110448619,24,neighborhood_size=50,1,5.742379665374756,50,0.05,5
921085521.26371,61.643247192573654,0.9807020188120228,21,neighborhood_size=50,2,6.090091943740845,50,0.05,5
1214062234.249178,206.25500095469678,1.0259878927420862,15,neighborhood_size=50,3,6.325220346450806,50,0.05,5
1839004762.5270305,268.7313502709405,1.0551607603219029,18,neighborhood_size=50,4,6.006995439529419,50,0.05,5
1781965643.8791254,62.79066518290553,0.9942474052439538,21,mutation_prob=0.01,0,2.6585006713867188,10,0.01,5
2442053141.828476,431.2879402898972,1.1200836055413055,22,mutation_prob=0.01,1,2.7024593353271484,10,0.01,5
1457281418.923706,194.6958653273059,1.0621866488113434,11,mutation_prob=0.01,2,2.8337795734405518,10,0.01,5
2493165232.950799,371.1312548564271,1.0951038862680407,29,mutation_prob=0.01,3,2.7749032974243164,10,0.01,5
