hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
427472046099.8447,614.3839114534385,1.0063536584288058,6,baseline,0,1.2140555381774902,10,0.35,0.02,0.05,5
771690524913.1875,452.51864491511003,1.0018812495814324,5,baseline,1,1.2288553714752197,10,0.35,0.02,0.05,5
1237171990420.9297,392.717075283946,1.047711121612056,7,baseline,2,1.2271432876586914,10,0.35,0.02,0.05,5
1221190867358.0723,380.28955879671196,1.01587751708904,5,baseline,3,1.2285857200622559,10,0.35,0.02,0.05,5
1446232259908.961,506.433806281554,1.0404931184792705,6,baseline,4,1.2451708316802979,10,0.35,0.02,0.05,5
590541500706.3833,635.9974366417604,1.0226324662679414,6,neighborhood_size=5,0,0.8799974918365479,5,0.35,0.02,0.05,5
1055952962536.6641,313.28030601065774,1.0369458440421127,8,neighborhood_size=5,1,0.8819453716278076,5,0.35,0.02,0.05,5
513513895362.84375,602.4475383973117,1.10022580104247,10,neighborhood_size=5,2,0.9596664905548096,5,0.35,0.02,0.05,5
1402995782289.9077,715.2148221338505,1.105290857649104,13,neighborhood_size=5,3,0.8806648254394531,5,0.35,0.02,0.05,5
890912189788.6875,737.8926491564634,1.0910998334517523,8,neighborhood_size=5,4,0.8779740333557129,5,0.35,0.02,0.05,5
716035554268.7188,264.98022982509093,1.0052966051895513,12,neighborhood_size=15,0,1.596269130706787,15,0.35,0.02,0.05,5
1102852847439.1719,484.3696303794894,1.0640566801402447,9,neighborhood_size=15,1,1.6084282398223877,15,0.35,0.02,0.05,5
843744620914.0469,294.2682564134294,0.9431311332231612,5,neighborhood_size=15,2,1.6162817478179932,15,0.35,0.02,0.05,5
798703646238.0312,333.16538159061867,1.046032544543571,10,neighborhood_size=15,3,1.6164517402648926,15,0.35,0.02,0.05,5
603832687837.3809,864.2926786297547,1.0377919627671823,6,neighborhood_size=15,4,1.6097338199615479,15,0.35,0.02,0.05,5
437213943834.09375,358.24225302519073,1.0797940873070662,11,neighborhood_size=20,0,1.9761972427368164,20,0.35,0.02,0.05,5
1079115679853.3516,328.1548012096819,1.0142182208534818,8,neighborhood_size=20,1,1.980663776397705,20,0.35,0.02,0.05,5
993847323455.6797,242.8652889238983,0.9476170279241732,5,neighborhood_size=20,2,1.9734570980072021,20,0.35,0.02,0.05,5
744298077695.9375,124.02458974309214,0.9835616116549425,10,neighborhood_size=20,3,1.9805784225463867,20,0.35,0.02,0.05,5
1218699535890.921,710.9734577950372,1.0499273355068837,4,neighborhood_size=20,4,1.975020170211792,20,0.35,0.02,0.05,5
1309420899212.3516,332.78361484580785,1.0591809132804186,8,neighborhood_size=30,0,2.727450370788574,30,0.35,0.02,0.05,5
530063695392.896,984.1760996810115,1.0409194071293562,4,neighborhood_size=30,1,2.7186765670776367,30,0.35,0.02,0.05,5
594729892192.6895,319.06273971766956,1.023148842744441,8,neighborhood_size=30,2,2.702481508255005,30,0.35,0.02,0.05,5
1116199246785.121,197.83804978477264,1.0201237940895664,7,neighborhood_size=30,3,2.7078146934509277,30,0.35,0.02,0.05,5
854325832269.564,953.0543221380076,1.0209236485819142,5,neighborhood_size=30,4,2.703890323638916,30,0.35,0.02,0.05,5
722058914781.7109,358.85679936981603,1.010121352087535,8,neighborhood_size=50,0,4.16579794883728,50,0.35,0.02,0.05,5
899732646824.2969,651.4147590722874,1.0024019266594626,7,neighborhood_size=50,1,4.171253442764282,50,0.35,0.02,0.05,5
923562714749.5156,253.0073595128462,0.9760199128503121,4,neighborhood_size=50,2,4.173715591430664,50,0.35,0.02,0.05,5
937292326186.1719,71.12714020757222,0.9117160729088744,8,neighborhood_size=50,3,4.189449310302734,50,0.35,0.02,0.05,5
904209702349.0459,279.85079851781865,0.9953524858928517,5,neighborhood_size=50,4,4.183093070983887,50,0.35,0.02,0.05,5
990381678642.8994,213.44787760439007,1.0048031037403806,5,mutation_prob=0.01,0,1.2703218460083008,10,0.35,0.02,0.01,5
974502505114.375,161.7948658725522,0.9656804933146413,8,mutation_prob=0.01,1,1.2673254013061523,10,0.35,0.02,0.01,5
597015686477.5647,54.99493163468857,0.9703902097901307,13,mutation_prob=0.01,2,1.266955852508545,10,0.35,0.02,0.01,5
1152488166659.891,45.669638877643976,0.9882445392959172,3,mutation_prob=0.01,3,1.2654731273651123,10,0.35,0.02,0.01,5
1276893974938.9375,270.00305084260106,1.01454951059381,6,mutation_prob=0.01,4,1.2651219367980957,10,0.35,0.02,0.01,5
1120366580251.1934,219.97406557395163,0.9934647616375946,5,mutation_prob=0.02,0,1.2619202136993408,10,0.35,0.02,0.02,5
671653171543.7803,111.1701741610154,0.9803912573043737,5,mutation_prob=0.02,1,1.2595627307891846,10,0.35,0.02,0.02,5
762572823255.5312,308.496688625835,1.0375903063919276,9,mutation_prob=0.02,2,1.265465259552002,10,0.35,0.02,0.02,5
675295126452.8047,407.03642559739,1.0663801951707355,9,mutation_prob=0.02,3,1.2673759460449219,10,0.35,0.02,0.02,5
983697218343.4912,1206.6371687028172,1.0647749610429795,4,mutation_prob=0.02,4,1.258150339126587,10,0.35,0.02,0.02,5
954102835237.9609,498.7212999472968,1.0483721395336822,7,mutation_prob=0.07,0,1.2740345001220703,10,0.35,0.02,0.07,5
875179138907.4688,399.3029834877913,0.9755520525470978,4,mutation_prob=0.07,1,1.2532694339752197,10,0.35,0.02,0.07,5
1064193585932.0078,409.83706478425177,1.0342891640761154,8,mutation_prob=0.07,2,1.279097318649292,10,0.35,0.02,0.07,5
1359873838408.373,54.85540552715303,0.8572259631154341,5,mutation_prob=0.07,3,1.284700632095337,10,0.35,0.02,0.07,5
793628963593.668,492.60349356304573,1.0202359150368312,4,mutation_prob=0.07,4,1.2793214321136475,10,0.35,0.02,0.07,5
