hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
2307100725176.9062,239.29622268382917,0.957938941523415,9,default,0,1.8500428199768066,E-n101-k8,100
1789793898748.7822,186.13929203766585,0.9635794478021253,17,default,1,1.8452565670013428,E-n101-k8,100
1952871815806.125,218.30374649139762,0.9715816420109391,11,default,2,1.8482539653778076,E-n101-k8,100
1790523205808.75,220.817881333433,0.9088066125675007,9,default,3,1.8458356857299805,E-n101-k8,100
1289231375811.8809,294.56370029669216,0.9571882858055024,6,default,4,1.846573829650879,E-n101-k8,100
1194673197251.8787,330.6565826505991,0.982668078640865,15,default,5,1.8518989086151123,E-n101-k8,100
1851966162534.143,257.5985055580763,0.9786183634458384,14,default,6,1.8539247512817383,E-n101-k8,100
1904702807076.5625,657.8749181488561,1.045445455199928,8,default,7,1.866590976715088,E-n101-k8,100
3115717334359.0625,186.1866679714677,0.9863864102477543,8,default,8,1.8545141220092773,E-n101-k8,100
1120288094299.5938,311.735105325227,0.9806358808793796,9,default,9,1.8503940105438232,E-n101-k8,100
1874065854165.0312,171.31376113181383,0.8950078599895396,8,default,10,1.8777084350585938,E-n101-k8,100
1040617249780.9706,366.75040057344535,0.9861475583301867,20,default,11,1.8624858856201172,E-n101-k8,100
1524291553829.012,966.2050190205647,1.0558067556036699,13,default,12,1.8571839332580566,E-n101-k8,100
1816362975984.625,628.9957871240778,1.0378365071155322,11,default,13,1.8569653034210205,E-n101-k8,100
1991031884437.374,171.52257127288482,0.9524011008740451,17,default,14,1.8576767444610596,E-n101-k8,100
1819949641901.0251,1020.9349519317487,1.0940758149100607,13,mutation-formula-only,0,1.8510162830352783,E-n101-k8,100
3527216526126.452,101.9554623394844,0.9978418561482477,14,mutation-formula-only,1,1.861274242401123,E-n101-k8,100
2408803947545.258,468.3761697824178,1.0405514093357988,4,mutation-formula-only,2,1.8528764247894287,E-n101-k8,100
2791082165228.4375,1276.9614063312547,1.0817944134096733,10,mutation-formula-only,3,1.8506340980529785,E-n101-k8,100
2615391796661.9062,374.6105891963268,1.0581178294832523,6,mutation-formula-only,4,1.8460607528686523,E-n101-k8,100
2681270488022.5,903.4428544230218,1.077474953130528,12,mutation-formula-only,5,1.8550407886505127,E-n101-k8,100
1483918023547.5757,522.4246328931104,1.0315762617158166,18,mutation-formula-only,6,1.8813986778259277,E-n101-k8,100
3204539210875.922,207.77637040636316,0.9941743447654813,7,mutation-formula-only,7,1.8769338130950928,E-n101-k8,100
2309342372044.9688,1049.51842304782,1.08213729660519,9,mutation-formula-only,8,1.925987958908081,E-n101-k8,100
2473217254072.0547,554.3383796929835,1.0568491586342545,5,mutation-formula-only,9,1.8909497261047363,E-n101-k8,100
3482025193575.199,339.1091820277965,1.0619763178350479,14,mutation-formula-only,10,1.9292194843292236,E-n101-k8,100
3145232818253.2266,269.4573098899006,0.9844814989000388,6,mutation-formula-only,11,1.8653266429901123,E-n101-k8,100
2641790025183.25,395.95562065654553,1.057863300931369,8,mutation-formula-only,12,1.864370584487915,E-n101-k8,100
2558102959928.0547,263.6559883126323,0.9440814033502005,6,mutation-formula-only,13,1.8989832401275635,E-n101-k8,100
2506200910355.9414,538.7944808273247,1.0783869055283193,16,mutation-formula-only,14,1.9900071620941162,E-n101-k8,100
2232056058918.5,775.0307402879931,1.0756495784947377,9,mutation-formula+nb-screened,0,5.102039575576782,E-n101-k8,100
2150098889554.9531,1144.0826049973675,1.082371243866199,8,mutation-formula+nb-screened,1,5.208281517028809,E-n101-k8,100
2906397758590.0625,249.66215700243046,1.0234925756420876,7,mutation-formula+nb-screened,2,5.273792743682861,E-n101-k8,100
3096483991963.0,220.83622095485407,1.053288944164751,11,mutation-formula+nb-screened,3,5.272449731826782,E-n101-k8,100
2652856937344.125,261.55706167524204,1.0240358795081925,11,mutation-formula+nb-screened,4,5.349248886108398,E-n101-k8,100
2299097054603.75,313.5510337944075,1.0938280336538464,8,mutation-formula+nb-screened,5,5.329891920089722,E-n101-k8,100
2823578045223.2188,401.3336575401575,1.0704722543253968,7,mutation-formula+nb-screened,6,5.382523059844971,E-n101-k8,100
2700045563431.2456,242.81852647506764,1.0467273071023748,16,mutation-formula+nb-screened,7,5.3605568408966064,E-n101-k8,100
2896191985109.5,130.35263751302043,0.9732130259691062,9,mutation-formula+nb-screened,8,5.232468128204346,E-n101-k8,100
2131338585410.914,612.8070645928259,1.0574410240340295,7,mutation-formula+nb-screened,9,5.15804648399353,E-n101-k8,100
2045928836403.25,820.5209303587574,1.0954039556415753,12,mutation-formula+nb-screened,10,5.214642286300659,E-n101-k8,100
2607999452867.5737,206.3535233362753,1.0511071367990814,14,mutation-formula+nb-screened,11,5.091270685195923,E-n101-k8,100
3064189209282.375,1380.2550287545148,1.1007806376116431,8,mutation-formula+nb-screened,12,5.168976068496704,E-n101-k8,100
3744053101860.25,133.53459093943957,1.0637974873677072,11,mutation-formula+nb-screened,13,5.132008075714111,E-n101-k8,100
2256935461799.9077,67.60949981914936,0.9013830303605693,15,mutation-formula+nb-screened,14,5.090215444564819,E-n101-k8,100
