hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
750968779772.9297,697.8554329694624,1.0280425642743605,6,default(0.05),0,1.2586464881896973,A-n32-k5,31
670816389727.375,53.69622759979007,0.9401195511864201,11,default(0.05),1,1.2699785232543945,A-n32-k5,31
824647744468.7402,321.7215764213446,1.0588010875180334,4,default(0.05),2,1.2664315700531006,A-n32-k5,31
732652282577.375,350.49307494149116,1.0068538965394283,8,default(0.05),3,1.2672302722930908,A-n32-k5,31
872486641023.7285,584.555020945369,1.0569053766272658,5,default(0.05),4,1.2628297805786133,A-n32-k5,31
428027315259.2197,371.4242446643072,0.9940515329715912,5,k=0.5(mp=0.0161),0,1.271378755569458,A-n32-k5,31
400246297628.1797,384.4109810630982,1.0714211848226667,10,k=0.5(mp=0.0161),1,1.2733337879180908,A-n32-k5,31
567029691839.919,564.9165577957898,1.0420454453049706,7,k=0.5(mp=0.0161),2,1.27496337890625,A-n32-k5,31
308768337391.55225,113.05381244032819,0.9477385999247533,7,k=0.5(mp=0.0161),3,1.2793400287628174,A-n32-k5,31
745589510045.3828,303.656843793815,0.9625358660597366,5,k=0.5(mp=0.0161),4,1.269662857055664,A-n32-k5,31
430962436986.1177,569.4203890869609,1.0343603216182882,6,k=1.0(mp=0.0323),0,1.2662067413330078,A-n32-k5,31
586133920211.4443,275.18554835801757,0.9575467140300414,4,k=1.0(mp=0.0323),1,1.264591932296753,A-n32-k5,31
743221927433.7031,290.49245776466273,1.0350128833833327,7,k=1.0(mp=0.0323),2,1.2658610343933105,A-n32-k5,31
490314248718.7478,44.49059306879492,0.8597421363829323,4,k=1.0(mp=0.0323),3,1.2669310569763184,A-n32-k5,31
605244056427.377,155.57082970597733,0.9855258953767673,7,k=1.0(mp=0.0323),4,1.2710397243499756,A-n32-k5,31
593084457107.3008,602.9074235114573,1.0555834205145,9,k=1.5(mp=0.0484),0,1.2664132118225098,A-n32-k5,31
659345641054.356,281.470248236992,1.0100509265228443,4,k=1.5(mp=0.0484),1,1.2681617736816406,A-n32-k5,31
519008196024.61523,644.4777478581667,1.0416537384586406,7,k=1.5(mp=0.0484),2,1.2695960998535156,A-n32-k5,31
621361144585.3438,399.20757836693724,1.0628471918061602,11,k=1.5(mp=0.0484),3,1.271705150604248,A-n32-k5,31
620920904179.6367,0.0,0.7142857142857142,2,k=1.5(mp=0.0484),4,1.2717792987823486,A-n32-k5,31
575582190338.7432,192.9003549184976,0.9413136603835622,5,k=2.0(mp=0.0645),0,1.2715957164764404,A-n32-k5,31
434840125173.1854,976.066742141837,1.0291987857076597,4,k=2.0(mp=0.0645),1,1.2755212783813477,A-n32-k5,31
497332682407.4844,48.233168941799896,0.9157250739513041,9,k=2.0(mp=0.0645),2,1.2742888927459717,A-n32-k5,31
409407520433.2422,285.63152840803076,1.025108440843475,8,k=2.0(mp=0.0645),3,1.2773709297180176,A-n32-k5,31
440256968857.69617,325.0482980286536,1.0171562398066465,5,k=2.0(mp=0.0645),4,1.2748732566833496,A-n32-k5,31
431912755371.75,358.05626676086916,1.0310468822691083,10,k=3.0(mp=0.0968),0,1.275862455368042,A-n32-k5,31
654175269846.8132,846.2339595407565,1.0459898086152069,5,k=3.0(mp=0.0968),1,1.281132459640503,A-n32-k5,31
615976347328.3125,741.8419852173137,1.0659816520399001,10,k=3.0(mp=0.0968),2,1.2804615497589111,A-n32-k5,31
518164374507.0078,34.728776224739406,0.8619048892649624,9,k=3.0(mp=0.0968),3,1.2794325351715088,A-n32-k5,31
543644984953.0432,256.810892689659,0.9218642402489157,4,k=3.0(mp=0.0968),4,1.29475998878479,A-n32-k5,31
374854593735.5,297.6668988692342,0.9927326562091132,7,k=4.0(mp=0.1290),0,1.4487690925598145,A-n32-k5,31
332095115297.27734,502.16416506856524,1.0614576530074358,10,k=4.0(mp=0.1290),1,1.3945987224578857,A-n32-k5,31
361546710306.6328,480.7541749252232,1.0132386555213704,10,k=4.0(mp=0.1290),2,1.3385686874389648,A-n32-k5,31
452467039799.125,348.61471620116833,1.0255642218897465,11,k=4.0(mp=0.1290),3,1.2977285385131836,A-n32-k5,31
463098495306.2197,205.82475766803577,0.988580839055025,7,k=4.0(mp=0.1290),4,1.2978954315185547,A-n32-k5,31
416934781982.8701,418.5307434735182,1.018398178609378,7,k=6.0(mp=0.1935),0,1.3056905269622803,A-n32-k5,31
378714068878.9219,41.01904197026288,0.7951229971537772,9,k=6.0(mp=0.1935),1,1.318772554397583,A-n32-k5,31
415938184549.31836,263.0050347139837,0.9457388149773927,8,k=6.0(mp=0.1935),2,1.304929494857788,A-n32-k5,31
309766470323.28125,224.06789741572481,0.9811603583360785,11,k=6.0(mp=0.1935),3,1.3093245029449463,A-n32-k5,31
330435392594.16797,103.65905286605731,0.8965636127474917,9,k=6.0(mp=0.1935),4,1.3453888893127441,A-n32-k5,31
175733227952.98218,556.6271460869103,1.0410497952601399,6,k=9.9(mp=0.3194),0,1.2649407386779785,A-n32-k5,31
227838316613.0586,503.5825994955037,1.014066412955438,12,k=9.9(mp=0.3194),1,1.2675747871398926,A-n32-k5,31
299816794927.8639,952.0859396742335,1.0602356482006448,4,k=9.9(mp=0.3194),2,1.2835583686828613,A-n32-k5,31
302843251385.58594,456.6588966551505,1.0343737905547699,11,k=9.9(mp=0.3194),3,1.3050384521484375,A-n32-k5,31
352831876292.3783,705.1836399195915,1.0058318391331817,5,k=9.9(mp=0.3194),4,1.3586504459381104,A-n32-k5,31
