hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
2320763824790.375,239.29622268382917,0.957938941523415,9,default(0.05),0,1.8931653499603271,E-n101-k8,100
1807469081789.6577,186.13929203766585,0.9635794478021253,17,default(0.05),1,1.8831193447113037,E-n101-k8,100
1985835097176.5,218.30374649139762,0.9715816420109391,11,default(0.05),2,1.8971116542816162,E-n101-k8,100
1807038853443.7188,220.817881333433,0.9088066125675007,9,default(0.05),3,1.901561975479126,E-n101-k8,100
1283336532481.7754,294.56370029669216,0.9571882858055024,6,default(0.05),4,1.879187822341919,E-n101-k8,100
2345022385286.497,649.5348237853555,1.0712006533419853,15,k=0.5(mp=0.0050),0,1.8752617835998535,E-n101-k8,100
2709834722478.168,99.54857275835653,0.9997417111807799,24,k=0.5(mp=0.0050),1,1.8707778453826904,E-n101-k8,100
3302291189579.8125,9.450166925919246,0.8689722710296326,6,k=0.5(mp=0.0050),2,1.8731863498687744,E-n101-k8,100
3822391307303.75,68.16462403018325,0.9768203079831763,11,k=0.5(mp=0.0050),3,1.8679227828979492,E-n101-k8,100
2595746863265.0,1219.9799673284238,1.090902618497848,11,k=0.5(mp=0.0050),4,1.8699476718902588,E-n101-k8,100
1981800168291.8828,368.6546080026772,1.0090452127565703,7,k=1.0(mp=0.0100),0,1.8706951141357422,E-n101-k8,100
4563865999328.0,111.12455348394622,1.029511479805747,12,k=1.0(mp=0.0100),1,1.8683133125305176,E-n101-k8,100
2728370968495.0,341.37587209427403,1.0663088860665735,12,k=1.0(mp=0.0100),2,1.8762261867523193,E-n101-k8,100
4198599768499.25,180.06539221381786,0.9690457995840328,9,k=1.0(mp=0.0100),3,1.8701903820037842,E-n101-k8,100
2215193681093.367,697.6820418288719,1.051941040610385,6,k=1.0(mp=0.0100),4,1.8682432174682617,E-n101-k8,100
1944806483014.2031,643.9374176381598,1.0833551677793858,8,k=1.5(mp=0.0150),0,1.8771369457244873,E-n101-k8,100
2392397636855.9375,626.1539478712078,1.0805053549719215,11,k=1.5(mp=0.0150),1,1.8821005821228027,E-n101-k8,100
2882576524840.75,472.11976926956856,1.0733725588565473,8,k=1.5(mp=0.0150),2,1.8762798309326172,E-n101-k8,100
3619555666463.5586,1554.4791495779125,1.0714020595851814,5,k=1.5(mp=0.0150),3,1.8822596073150635,E-n101-k8,100
2600762410722.5,528.9813872741792,1.0971208881890722,11,k=1.5(mp=0.0150),4,1.8879103660583496,E-n101-k8,100
3390564768477.4844,365.4359037253721,1.0249067109861645,6,k=2.0(mp=0.0200),0,1.8787856101989746,E-n101-k8,100
2036932490792.5,1029.29539126645,1.0936591877673634,11,k=2.0(mp=0.0200),1,1.8836967945098877,E-n101-k8,100
3129388872878.633,501.4496140434716,1.0696198514699369,5,k=2.0(mp=0.0200),2,1.882308006286621,E-n101-k8,100
3762874278475.3906,276.727481290647,1.0683976332330292,13,k=2.0(mp=0.0200),3,1.879727840423584,E-n101-k8,100
2364933302056.1406,1358.0871691391478,1.0823808182328205,8,k=2.0(mp=0.0200),4,1.8879497051239014,E-n101-k8,100
1392692596658.625,464.22395616084015,1.0399407392468447,27,k=3.0(mp=0.0300),0,1.8803343772888184,E-n101-k8,100
3939468589950.5,27.504634892579194,0.8706751894833352,9,k=3.0(mp=0.0300),1,1.8837850093841553,E-n101-k8,100
3258677669369.25,18.611543655425006,0.7860924812601173,10,k=3.0(mp=0.0300),2,1.8849174976348877,E-n101-k8,100
2855439855092.752,653.3330114542459,1.0721120992768747,16,k=3.0(mp=0.0300),3,1.8803300857543945,E-n101-k8,100
2564747960181.625,1012.3522350791698,1.0789760336815806,11,k=3.0(mp=0.0300),4,1.8790042400360107,E-n101-k8,100
1408608945638.1714,698.6000148656789,1.078491426458086,16,k=4.0(mp=0.0400),0,1.8776097297668457,E-n101-k8,100
1872596040312.125,868.3465556954804,1.0708508634258864,12,k=4.0(mp=0.0400),1,1.89725923538208,E-n101-k8,100
1543118138047.738,480.8655083621597,1.0425360653661557,18,k=4.0(mp=0.0400),2,1.8926467895507812,E-n101-k8,100
3151857375408.372,32.9216174252984,0.7710699979709632,16,k=4.0(mp=0.0400),3,1.8844640254974365,E-n101-k8,100
1903246109747.0754,622.1057934125556,1.0542736249504083,13,k=4.0(mp=0.0400),4,1.88484787940979,E-n101-k8,100
1741130682317.5,636.1622865803548,0.9985120944072672,12,k=6.0(mp=0.0600),0,1.8870337009429932,E-n101-k8,100
1353926070578.2698,349.6523792536189,1.0135311400690485,13,k=6.0(mp=0.0600),1,1.8906068801879883,E-n101-k8,100
1438792664747.0625,617.6512848016489,1.0277083833961254,7,k=6.0(mp=0.0600),2,1.891495943069458,E-n101-k8,100
1009338141668.875,798.8218764766181,1.0558907139322764,10,k=6.0(mp=0.0600),3,1.8894948959350586,E-n101-k8,100
1217052332248.9062,581.5128376472446,1.0566136023858264,11,k=6.0(mp=0.0600),4,1.8914952278137207,E-n101-k8,100
982835175352.1445,552.7483323908948,0.9945863534531191,8,k=9.9(mp=0.0990),0,1.8885219097137451,E-n101-k8,100
944040325548.4062,374.6071683033514,0.9961243835755116,12,k=9.9(mp=0.0990),1,1.8898770809173584,E-n101-k8,100
1134645167329.012,161.5416414721621,0.8782729947616237,13,k=9.9(mp=0.0990),2,1.8885490894317627,E-n101-k8,100
1323108170747.8608,67.18599338283596,0.8088119687741208,17,k=9.9(mp=0.0990),3,1.8837945461273193,E-n101-k8,100
1469657300784.3438,55.53027556220447,0.9171385321389128,10,k=9.9(mp=0.0990),4,1.8902554512023926,E-n101-k8,100
