hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
661470007147.3535,697.8554329694624,1.0280425642743605,6,default,0,1.2630093097686768,A-n32-k5,31
574741149123.4375,53.69622759979007,0.9401195511864201,11,default,1,1.2604320049285889,A-n32-k5,31
720016274545.1924,321.7215764213446,1.0588010875180334,4,default,2,1.264225721359253,A-n32-k5,31
646387861297.2871,350.49307494149116,1.0068538965394283,8,default,3,1.2641658782958984,A-n32-k5,31
769844152205.6055,584.555020945369,1.0569053766272658,5,default,4,1.266289472579956,A-n32-k5,31
220882337146.83493,261.7291437008106,1.0135129700443521,13,default,5,1.2601964473724365,A-n32-k5,31
493479951784.62695,728.5530361235108,1.0645975465805055,7,default,6,1.2662708759307861,A-n32-k5,31
497119619849.70166,962.1929610193787,1.0960247881656213,5,default,7,1.2781665325164795,A-n32-k5,31
465112391566.2383,386.7249028443181,1.0734468631205896,8,default,8,1.2672312259674072,A-n32-k5,31
291904224304.3013,25.27645670468294,0.9242042490972873,7,default,9,1.2725179195404053,A-n32-k5,31
332896547884.8535,680.8265996555878,1.0599057665541733,8,default,10,1.2658085823059082,A-n32-k5,31
322531862386.6035,860.1102076327516,1.0610321719458324,7,default,11,1.265686273574829,A-n32-k5,31
296090629557.64,701.7282450371632,1.0408998300565269,4,default,12,1.2609026432037354,A-n32-k5,31
611738012541.3789,129.19662571031392,0.933444900502195,6,default,13,1.2620375156402588,A-n32-k5,31
558451934778.8936,561.781591404981,1.030291261922816,6,default,14,1.2634670734405518,A-n32-k5,31
