hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
2331831869639.445,1020.9349519317487,1.0940758149100607,13,default,0,1.8193376064300537,E-n101-k8,100
4448052508384.861,101.9554623394844,0.9978418561482477,14,default,1,1.8408842086791992,E-n101-k8,100
3117831709105.385,468.3761697824178,1.0405514093357988,4,default,2,1.8412225246429443,E-n101-k8,100
3498073064485.25,1276.9614063312547,1.0817944134096733,10,default,3,1.835637092590332,E-n101-k8,100
3354918428746.1875,374.6105891963268,1.0581178294832523,6,default,4,1.8399157524108887,E-n101-k8,100
3401960340274.0,903.4428544230218,1.077474953130528,12,default,5,1.865598201751709,E-n101-k8,100
1935177753665.1982,522.4246328931104,1.0315762617158166,18,default,6,1.905860424041748,E-n101-k8,100
4070224500230.1406,207.77637040636316,0.9941743447654813,7,default,7,1.8931176662445068,E-n101-k8,100
2927427737817.9688,1049.51842304782,1.08213729660519,9,default,8,1.8912322521209717,E-n101-k8,100
3163586533151.0,554.3383796929835,1.0568491586342545,5,default,9,1.8400239944458008,E-n101-k8,100
4391674562953.254,339.1091820277965,1.0619763178350479,14,default,10,1.8394153118133545,E-n101-k8,100
3997123097012.0938,269.4573098899006,0.9844814989000388,6,default,11,1.8408722877502441,E-n101-k8,100
3388565235890.25,395.95562065654553,1.057863300931369,8,default,12,1.8435075283050537,E-n101-k8,100
3285340008436.758,263.6559883126323,0.9440814033502005,6,default,13,1.8613967895507812,E-n101-k8,100
3211980792524.075,538.7944808273247,1.0783869055283193,16,default,14,1.8403339385986328,E-n101-k8,100
2819794071518.9453,217.28650215292967,0.9465173539617124,6,screened-best,0,10.60724687576294,E-n101-k8,100
4142362039508.5938,1826.7970020146413,1.0957500564390608,7,screened-best,1,10.636691570281982,E-n101-k8,100
6495657718404.5,279.92749314979375,1.0608576924933077,10,screened-best,2,10.681885004043579,E-n101-k8,100
4328978981954.0,145.46988691183938,1.0214759590049938,7,screened-best,3,10.737273693084717,E-n101-k8,100
5183953099651.0,88.63298185556913,0.9714165479404434,10,screened-best,4,11.012920141220093,E-n101-k8,100
3434968797668.4688,435.2071750075669,1.0386766472191256,6,screened-best,5,10.931142568588257,E-n101-k8,100
5738953414976.25,33.71738854309314,0.8409304106939001,8,screened-best,6,10.79240107536316,E-n101-k8,100
4319602029291.0938,238.76363380455757,0.9688554989187372,7,screened-best,7,10.815493106842041,E-n101-k8,100
3475902859726.014,153.29844607156514,1.0475986157567811,17,screened-best,8,10.926231861114502,E-n101-k8,100
1992119645256.7656,417.3013053724421,1.0577600700665228,8,screened-best,9,10.578264474868774,E-n101-k8,100
4453162911231.4375,261.16631564787974,1.0223833577464838,9,screened-best,10,10.59891653060913,E-n101-k8,100
3685718817830.867,386.35319579687547,1.0222278371069284,6,screened-best,11,10.484752893447876,E-n101-k8,100
3301687165846.5,94.37452822702964,0.9816924907270139,10,screened-best,12,10.485721826553345,E-n101-k8,100
5598034258624.0,230.96769632036083,1.030759716641998,12,screened-best,13,10.804615497589111,E-n101-k8,100
2005311648209.5625,274.8478001313362,1.0415428125454607,17,screened-best,14,11.643327713012695,E-n101-k8,100
