hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
194601129019.2329,375.79417932047977,0.8994761286999786,4,nb=5,0,0.8983023166656494,A-n32-k5,31
308272540673.5674,551.3113310934887,1.0390217626541125,6,nb=5,1,0.8884091377258301,A-n32-k5,31
222256833221.6744,186.23323171636224,1.0145112540691192,23,nb=5,2,0.8859937191009521,A-n32-k5,31
276137107322.45996,539.3845556451946,1.0253065610778898,8,nb=5,3,0.8875265121459961,A-n32-k5,31
338263770708.594,856.0518935271222,1.071862220324142,5,nb=5,4,0.8881015777587891,A-n32-k5,31
549602745909.2744,697.8554329694624,1.0280425642743605,6,nb=10(default),0,1.2561018466949463,A-n32-k5,31
483246267980.375,53.69622759979007,0.9401195511864201,11,nb=10(default),1,1.26300048828125,A-n32-k5,31
602206258831.5361,321.7215764213446,1.0588010875180334,4,nb=10(default),2,1.3082609176635742,A-n32-k5,31
528475576444.61914,350.49307494149116,1.0068538965394283,8,nb=10(default),3,1.318176031112671,A-n32-k5,31
643823899080.9307,584.555020945369,1.0569053766272658,5,nb=10(default),4,1.3231291770935059,A-n32-k5,31
370782223877.53125,234.8652296298221,1.0229938739339814,12,nb=15,0,1.853952169418335,A-n32-k5,31
307181647588.54346,179.36401187547204,0.9983369674602944,6,nb=15,1,1.8114032745361328,A-n32-k5,31
293545296154.8496,46.7436930750683,0.8765508457322346,8,nb=15,2,1.7109529972076416,A-n32-k5,31
288979387076.4917,673.739497842758,1.0524871324552576,7,nb=15,3,1.7243447303771973,A-n32-k5,31
290197971751.0918,120.42898086891668,1.033862644307479,6,nb=15,4,1.6526508331298828,A-n32-k5,31
350152218786.5781,459.5885807960222,1.0718879707706728,12,nb=20,0,2.019787311553955,A-n32-k5,31
346577627130.65967,180.80760690527217,0.9261866627601409,4,nb=20,1,1.997957468032837,A-n32-k5,31
327068602192.57886,117.94490994846504,0.9256278515292123,6,nb=20,2,2.0067083835601807,A-n32-k5,31
430343132723.05664,25.647963973244355,0.8427093002864515,6,nb=20,3,2.007655382156372,A-n32-k5,31
270748434516.6493,674.9120342888222,1.0282166669012793,5,nb=20,4,2.0014970302581787,A-n32-k5,31
470044272397.16113,193.8108364583911,0.9659057162383177,6,nb=30,0,2.7396018505096436,A-n32-k5,31
349040091263.3574,546.1131760928165,1.0756796094718908,8,nb=30,1,2.7282450199127197,A-n32-k5,31
481450241886.65625,293.6232158527461,1.0399331115356996,12,nb=30,2,2.7299134731292725,A-n32-k5,31
331564578941.0664,326.00259644356805,1.0197596981645212,9,nb=30,3,2.7689552307128906,A-n32-k5,31
333352118384.2932,0.0,0.7142857142857143,2,nb=30,4,2.8371741771698,A-n32-k5,31
463126858858.1367,680.300450238349,1.0790687329767188,8,nb=40,0,3.5919854640960693,A-n32-k5,31
389327245306.9263,138.63243693818984,0.9786374561877083,6,nb=40,1,3.5233843326568604,A-n32-k5,31
655263350803.1616,895.3838679589144,1.0616477158742137,4,nb=40,2,3.5030558109283447,A-n32-k5,31
548094981556.7849,876.9609630150587,1.0510399416884628,4,nb=40,3,3.5451018810272217,A-n32-k5,31
191874275960.42426,772.3363375907948,1.0288221364993257,5,nb=40,4,3.540116548538208,A-n32-k5,31
402777336440.4829,133.34829460133022,0.9935361256166669,5,nb=60,0,5.067894220352173,A-n32-k5,31
219139014031.8828,418.80539132267114,1.0220682028649917,8,nb=60,1,5.159213542938232,A-n32-k5,31
479768634763.53906,336.53455350392426,0.9798199719197249,6,nb=60,2,4.959128379821777,A-n32-k5,31
631446379110.9375,54.665403060661276,0.9832055559007942,8,nb=60,3,4.951330184936523,A-n32-k5,31
385698060144.20703,505.0927526044164,1.0253283679789897,9,nb=60,4,4.948424339294434,A-n32-k5,31
487287949404.6406,193.33811158801555,1.025264943596271,9,nb=80,0,6.471851587295532,A-n32-k5,31
655807833960.6758,624.144990723882,1.0796470316896658,7,nb=80,1,6.665074110031128,A-n32-k5,31
444635342268.35254,391.50172325013324,1.0715572271765668,6,nb=80,2,6.869114637374878,A-n32-k5,31
332934597795.82764,402.9779193643268,0.9876074205140316,6,nb=80,3,6.489858627319336,A-n32-k5,31
433160945421.78125,502.7576086337564,1.0818186197676605,10,nb=80,4,6.562525272369385,A-n32-k5,31
246032509533.93848,196.60000677889423,0.9921550579101661,9,nb=126,0,10.13027572631836,A-n32-k5,31
437098599247.94995,384.71132653766193,0.99829610221849,5,nb=126,1,10.441595792770386,A-n32-k5,31
236425085365.9453,246.89147113583005,1.0168551780240067,10,nb=126,2,10.122876405715942,A-n32-k5,31
585620105929.6094,201.6673746398149,1.0336477992388535,10,nb=126,3,10.107788801193237,A-n32-k5,31
206552082283.99023,599.6684284113181,1.0296175370233518,5,nb=126,4,10.03560495376587,A-n32-k5,31
