instance,config,hv_mean,hv_std,mean_restarts,pct_vs_control
A-n32-k5,p10_f0.5,1680404950433.1902,286999112428.81226,47.2,45.375168888652226
A-n32-k5,p20_f0.5,1675624802302.225,45457394320.84535,23.8,44.96162878233876
A-n32-k5,p20_f0.3,1670494547544.8977,127725980476.74568,23.6,44.51780025660392
A-n32-k5,p15_f0.3,1590934291417.1868,40595485653.74628,31.6,37.63488452345949
A-n32-k5,p15_f0.5,1575593185537.6792,148125846334.55304,31.6,36.307694992390104
A-n32-k5,p10_f0.3,1544831817137.4312,183057240545.7996,48.0,33.64646793204415
A-n32-k5,p5_f0.3,1540582908882.8442,284742280521.0526,97.4,33.27888644227066
A-n32-k5,p40_f0.5,1540196987708.6099,120472751389.51257,11.8,33.2454996351992
A-n32-k5,p5_f0.5,1514304481511.2717,455097546131.4532,97.6,31.005487511682105
A-n32-k5,p40_f0.3,1497642585799.2622,176461584062.81747,11.8,29.5640338296312
A-n32-k5,p30_f0.5,1495631442527.224,161574074732.46356,16.0,29.39004583182363
A-n32-k5,p30_f0.3,1478630575842.4238,169030775896.8364,15.6,27.919267097852863
A-n32-k5,control,1155909199128.958,155987753247.97235,0.0,0.0
E-n101-k8,p5_f0.5,11893177301306.043,3609053469872.372,97.0,70.00492275778112
E-n101-k8,p5_f0.3,11301334893087.422,991888649743.1963,97.4,61.5449359649384
E-n101-k8,p10_f0.5,10682783063247.926,1403033741733.2527,47.6,52.703156061262035
E-n101-k8,p10_f0.3,10441706645082.941,1852081691032.2957,47.6,49.25713177266759
E-n101-k8,p15_f0.3,9405101413405.6,956021242005.2122,31.2,34.43956133904882
E-n101-k8,p30_f0.5,9351830905105.324,1678159071700.8252,15.0,33.67809546500846
E-n101-k8,p30_f0.3,8910700451030.82,1418109382793.7495,15.2,27.372434086967324
E-n101-k8,p40_f0.5,8674858969361.8955,1689310385403.2996,11.0,24.001239673696183
E-n101-k8,p20_f0.3,8556662389515.317,1329734268740.4658,23.4,22.311699535011375
E-n101-k8,p15_f0.5,8513615751560.592,1646698696731.6013,31.6,21.69637697022697
E-n101-k8,p20_f0.5,8364795706332.013,1782469969078.5496,23.0,19.5690951133328
E-n101-k8,p40_f0.3,7811676952415.807,1131980467855.5605,11.0,11.662636758837518
E-n101-k8,control,6995784068118.518,1398189747307.3914,0.0,0.0
route2_199,p15_f0.5,6543364538.085635,719622858.2375911,31.2,69.55339999135252
route2_199,p5_f0.5,6230295907.822244,770258863.9156407,96.0,61.44108248514743
route2_199,p10_f0.5,5886039455.785521,283141046.8155165,46.4,52.520617856890084
route2_199,p5_f0.3,5628996660.748888,721319194.5359888,95.2,45.86005667493702
route2_199,p30_f0.3,5612779981.519985,1240667565.0413737,14.8,45.43984577520408
route2_199,p15_f0.3,5523543910.643375,784306887.5834067,30.4,43.127537003327966
route2_199,p20_f0.5,5519750423.426453,1186544515.486983,22.8,43.02923915491845
route2_199,p30_f0.5,5493718433.522669,289571467.93295014,14.6,42.35469131778717
route2_199,p10_f0.3,5459509955.759966,675865564.3898933,46.4,41.468272155376916
route2_199,p20_f0.3,5389385484.793785,612503905.6426038,23.0,39.65118823689644
route2_199,p40_f0.5,5260653398.189179,975878610.5932076,10.8,36.31544821435171
route2_199,p40_f0.3,5049868577.182943,973983831.1365,10.8,30.85353594274349
route2_199,control,3859176246.7867684,327847320.0245014,0.0,0.0
