instance,config,hv_mean,hv_std,mean_restarts,pct_vs_control
A-n32-k5,p20_f0.3,554884999464.2913,62333358032.14464,23.6,59.35060202391631
A-n32-k5,p20_f0.5,552453755603.097,17386108353.499805,23.8,58.65240298569707
A-n32-k5,p100_f0.5,449991622937.63934,35612344518.8704,3.8,29.22756263020323
A-n32-k5,p50_f0.3,447418709198.10547,82582164087.01564,9.0,28.48867916111295
A-n32-k5,p50_f0.5,443913899729.1107,42717465732.81589,9.0,27.482176012888317
A-n32-k5,p20_f0.1,440080740548.1375,88758440250.77881,23.6,26.381378147148048
A-n32-k5,p200_f0.5,432486897464.68567,77477628790.8615,1.8,24.20059569998967
A-n32-k5,p50_f0.1,422205236968.53986,55489430204.662254,9.0,21.24793201030961
A-n32-k5,p100_f0.1,392160685181.1318,45538097272.61837,3.8,12.61980650775616
A-n32-k5,p200_f0.3,379862659539.20386,78723694788.31293,1.8,9.088087698203285
A-n32-k5,p200_f0.1,363195045669.963,68521383936.11798,1.8,4.301520559192662
A-n32-k5,p100_f0.3,360520941619.3832,23931580518.43041,3.8,3.5335774885638216
A-n32-k5,control,348216443751.50256,61058220243.57285,0.0,0.0
E-n101-k8,p20_f0.1,7016918559079.776,1437177395767.7861,23.8,28.52046374702606
E-n101-k8,p50_f0.3,6972734886326.189,1142532906732.4165,8.4,27.71120451670621
E-n101-k8,p50_f0.5,6776049938580.485,1343374510265.6602,8.0,24.10876272070901
E-n101-k8,p20_f0.3,6755943862406.666,1097168068887.3942,23.4,23.74050388853992
E-n101-k8,p100_f0.3,6707366999318.924,666602262909.8846,4.0,22.85077987096047
E-n101-k8,p20_f0.5,6603833803877.719,1479436443111.7905,23.0,20.95448676462288
E-n101-k8,p50_f0.1,6452666576304.918,1375788410771.18,8.2,18.18573834215915
E-n101-k8,p200_f0.5,6402020844468.878,1152392290278.4656,2.0,17.258121342250732
E-n101-k8,p100_f0.1,6364808229199.771,775280915986.0529,3.8,16.576542593494036
E-n101-k8,p200_f0.3,6190517205258.663,1125847337980.1042,1.8,13.384263384998718
E-n101-k8,p200_f0.1,6151875539843.958,1315222474558.5112,2.0,12.676510442273003
E-n101-k8,p100_f0.5,6065523292409.113,799177574247.4055,4.0,11.094900111116534
E-n101-k8,control,5459767537791.932,1119802279688.0112,0.0,0.0
route2_199,p20_f0.5,1886573632.1828911,569301591.9739107,22.8,53.442801119991046
route2_199,p50_f0.3,1831740724.3801124,323204543.1816901,8.2,48.98301496413487
route2_199,p50_f0.5,1821314489.3724961,208837559.04813617,8.0,48.135006342890186
route2_199,p20_f0.3,1804945503.8013992,255359602.81267893,23.0,46.8036493501522
route2_199,p20_f0.1,1800556177.7735462,479833061.60002923,23.0,46.44664739207683
route2_199,p50_f0.1,1777909361.7380822,509221972.7438229,8.4,44.60468859987748
route2_199,p100_f0.3,1681069290.772388,439712303.08829445,3.8,36.72828690733314
route2_199,p100_f0.5,1576238469.6656563,377300854.9771675,3.6,28.201964605397034
route2_199,p100_f0.1,1484102307.157708,102793939.32138546,3.8,20.70815115518565
route2_199,p200_f0.1,1431120792.9462044,345031491.281915,1.2,16.398946462875188
route2_199,p200_f0.5,1347661650.145652,313432295.7395088,1.2,9.610870751474266
route2_199,p200_f0.3,1269366233.544659,152962806.93832093,1.2,3.2427821525616407
route2_199,control,1229496345.4868147,125124125.96386455,0.0,0.0
