hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var,theta_min,theta_max
1628784837572.7773,697.8554329694624,1.0280425642743605,6,absolute-current-default,0,1.2420268058776855,A-n32-k5,31,0.1,0.35
1481605213073.125,53.69622759979007,0.9401195511864201,11,absolute-current-default,1,1.2489018440246582,A-n32-k5,31,0.1,0.35
1776266959270.9004,321.7215764213446,1.0588010875180334,4,absolute-current-default,2,1.2444190979003906,A-n32-k5,31,0.1,0.35
491721614630.9995,614.3839114534385,1.0063536584288058,6,absolute-pre-tune-default,0,1.2449650764465332,A-n32-k5,31,0.02,0.35
943827156152.5508,452.51864491511003,1.0018812495814324,5,absolute-pre-tune-default,1,1.2462077140808105,A-n32-k5,31,0.02,0.35
1487558281745.4297,392.717075283946,1.047711121612056,7,absolute-pre-tune-default,2,1.2454476356506348,A-n32-k5,31,0.02,0.35
906179761417.7266,583.2831011851782,1.064428136312385,7,scaled-mmin=0.5-mmax=2,0,1.2459428310394287,A-n32-k5,31,0.025335424625724138,0.10134169850289655
831449083107.7852,521.1666118117049,1.1122842256994547,7,scaled-mmin=0.5-mmax=2,1,1.2465550899505615,A-n32-k5,31,0.025335424625724138,0.10134169850289655
1132972289772.6875,231.2390800737363,1.0003318218003832,10,scaled-mmin=0.5-mmax=2,2,1.247959852218628,A-n32-k5,31,0.025335424625724138,0.10134169850289655
901500450466.3398,940.8449429723805,1.0650914621817422,6,scaled-mmin=0.5-mmax=4,0,1.2479052543640137,A-n32-k5,31,0.025335424625724138,0.2026833970057931
989590885872.5938,454.10742994970013,1.054468584003984,9,scaled-mmin=0.5-mmax=4,1,1.2514424324035645,A-n32-k5,31,0.025335424625724138,0.2026833970057931
1173528392570.418,139.5245019858862,0.9836463947074952,7,scaled-mmin=0.5-mmax=4,2,1.2503232955932617,A-n32-k5,31,0.025335424625724138,0.2026833970057931
1212429129321.4062,59.226949478986825,1.009517827073099,9,scaled-mmin=0.5-mmax=7,0,1.251798391342163,A-n32-k5,31,0.025335424625724138,0.35469594476013794
1497390796993.955,855.8644719370939,1.0617819474776837,6,scaled-mmin=0.5-mmax=7,1,1.2532868385314941,A-n32-k5,31,0.025335424625724138,0.35469594476013794
1048984485390.375,48.5379497065655,0.982269580673498,8,scaled-mmin=0.5-mmax=7,2,1.2520229816436768,A-n32-k5,31,0.025335424625724138,0.35469594476013794
1029731420454.5,580.226926483251,1.021085841280902,6,scaled-mmin=0.5-mmax=14,0,1.2544968128204346,A-n32-k5,31,0.025335424625724138,0.7093918895202759
