hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var,theta_min,theta_max
1839851096403.2197,694.7977036659923,1.0010801892042724,4,absolute-current-default,0,1.8136518001556396,E-n101-k8,100,0.1,0.35
911273175443.8032,402.31564683760956,1.001308971871802,16,absolute-current-default,1,1.8015902042388916,E-n101-k8,100,0.1,0.35
1043529465736.5638,108.68577544034201,0.8521575802201551,16,absolute-current-default,2,1.8035244941711426,E-n101-k8,100,0.1,0.35
1667087312488.0625,358.50271208035304,0.9972880433016476,10,absolute-pre-tune-default,0,1.8176655769348145,E-n101-k8,100,0.02,0.35
1880358899664.0742,1017.1122293429555,1.0735439238695115,7,absolute-pre-tune-default,1,1.8534939289093018,E-n101-k8,100,0.02,0.35
1456501075628.0,590.9820014438646,1.06508663964872,12,absolute-pre-tune-default,2,1.8317439556121826,E-n101-k8,100,0.02,0.35
1944551790779.7983,416.69906073910107,1.0463508388508844,15,scaled-mmin=0.5-mmax=2,0,1.7995035648345947,E-n101-k8,100,0.007853981633974483,0.031415926535897934
1520359908664.4863,495.0897665323788,1.0196954641611777,16,scaled-mmin=0.5-mmax=2,1,1.799921989440918,E-n101-k8,100,0.007853981633974483,0.031415926535897934
1719420025327.5332,163.24382307259395,0.9191647606293665,13,scaled-mmin=0.5-mmax=2,2,1.8021328449249268,E-n101-k8,100,0.007853981633974483,0.031415926535897934
2101502108473.4844,41.55627182060022,0.8624383987336998,8,scaled-mmin=0.5-mmax=4,0,1.801814317703247,E-n101-k8,100,0.007853981633974483,0.06283185307179587
2094642794280.3125,674.823351862758,1.0616660124600648,10,scaled-mmin=0.5-mmax=4,1,1.7997486591339111,E-n101-k8,100,0.007853981633974483,0.06283185307179587
1994603454748.0,33.980816387709424,0.7469339969176916,9,scaled-mmin=0.5-mmax=4,2,1.80311918258667,E-n101-k8,100,0.007853981633974483,0.06283185307179587
1640526939012.5781,24.689621157948213,0.7741198910557647,8,scaled-mmin=0.5-mmax=7,0,1.8007142543792725,E-n101-k8,100,0.007853981633974483,0.10995574287564278
1297632885272.7812,414.14020430226407,1.0128762223887064,8,scaled-mmin=0.5-mmax=7,1,1.804140567779541,E-n101-k8,100,0.007853981633974483,0.10995574287564278
1751245862559.2905,628.5539015975196,1.0621279059351858,16,scaled-mmin=0.5-mmax=7,2,1.8006319999694824,E-n101-k8,100,0.007853981633974483,0.10995574287564278
1049930766696.0312,551.8524156418334,1.0376806951504074,9,scaled-mmin=0.5-mmax=14,0,1.804351568222046,E-n101-k8,100,0.007853981633974483,0.21991148575128555
1248693222903.875,713.757346495917,1.0425959585070503,12,scaled-mmin=0.5-mmax=14,1,1.8108203411102295,E-n101-k8,100,0.007853981633974483,0.21991148575128555
1782857008300.4685,529.588778957132,1.0378792743960363,15,scaled-mmin=0.5-mmax=14,2,1.812265396118164,E-n101-k8,100,0.007853981633974483,0.21991148575128555
2102235201836.3662,425.2837049371529,0.9887751702107593,25,scaled-mmin=0.5-mmax=28,0,1.8122587203979492,E-n101-k8,100,0.007853981633974483,0.4398229715025711
1386159297278.2744,524.3249600809976,1.0458230576268979,13,scaled-mmin=0.5-mmax=28,1,1.8127965927124023,E-n101-k8,100,0.007853981633974483,0.4398229715025711
1252533263621.2847,104.55831439943965,0.8231708071037321,14,scaled-mmin=0.5-mmax=28,2,1.816114902496338,E-n101-k8,100,0.007853981633974483,0.4398229715025711
1622597554579.2861,401.5162211560872,1.0313963176912724,16,scaled-mmin=1-mmax=2,0,1.8140311241149902,E-n101-k8,100,0.015707963267948967,0.031415926535897934
1475503040967.6528,671.6614655088905,1.0443882198200103,14,scaled-mmin=1-mmax=2,1,1.815361499786377,E-n101-k8,100,0.015707963267948967,0.031415926535897934
863408451489.8125,233.60135090537082,0.9129708110294998,12,scaled-mmin=1-mmax=2,2,1.8191568851470947,E-n101-k8,100,0.015707963267948967,0.031415926535897934
1618525909107.9114,276.5359692993198,0.9919607989930685,17,scaled-mmin=1-mmax=4,0,1.8299071788787842,E-n101-k8,100,0.015707963267948967,0.06283185307179587
1163915687086.0938,332.9079849903998,0.9702295499602106,11,scaled-mmin=1-mmax=4,1,1.8235857486724854,E-n101-k8,100,0.015707963267948967,0.06283185307179587
1725263293825.125,125.26445298519957,0.931052065152412,10,scaled-mmin=1-mmax=4,2,1.8430187702178955,E-n101-k8,100,0.015707963267948967,0.06283185307179587
1511955301387.5,67.5229874640507,0.834265674256743,11,scaled-mmin=1-mmax=7,0,1.8883850574493408,E-n101-k8,100,0.015707963267948967,0.10995574287564278
1151236067344.375,779.0691893921984,1.0417346906103273,9,scaled-mmin=1-mmax=7,1,1.9072809219360352,E-n101-k8,100,0.015707963267948967,0.10995574287564278
2005145550838.558,175.1873324582119,0.9109432357262975,14,scaled-mmin=1-mmax=7,2,1.8734183311462402,E-n101-k8,100,0.015707963267948967,0.10995574287564278
1793987504468.1562,307.9250184530139,0.9465555131199003,10,scaled-mmin=1-mmax=14,0,1.8746061325073242,E-n101-k8,100,0.015707963267948967,0.21991148575128555
1245968103695.5625,205.2858551506355,0.9370647399818728,11,scaled-mmin=1-mmax=14,1,1.8724546432495117,E-n101-k8,100,0.015707963267948967,0.21991148575128555
1369911181290.7188,608.6099793272595,1.0571831539968435,9,scaled-mmin=1-mmax=14,2,1.8812236785888672,E-n101-k8,100,0.015707963267948967,0.21991148575128555
1304195127920.166,530.0866011193654,1.0285915760316813,15,scaled-mmin=1-mmax=28,0,1.8765668869018555,E-n101-k8,100,0.015707963267948967,0.4398229715025711
935926973825.5977,529.2284092668485,1.0356730482255683,9,scaled-mmin=1-mmax=28,1,1.880394458770752,E-n101-k8,100,0.015707963267948967,0.4398229715025711
1117750802971.8254,85.48626023903772,0.8894975712568387,14,scaled-mmin=1-mmax=28,2,1.8768963813781738,E-n101-k8,100,0.015707963267948967,0.4398229715025711
2333199648869.75,251.97041646246043,0.9848752583773954,11,scaled-mmin=2-mmax=4,0,1.877100944519043,E-n101-k8,100,0.031415926535897934,0.06283185307179587
998697234774.9358,526.5539332424344,1.0264065651738217,20,scaled-mmin=2-mmax=4,1,1.8694500923156738,E-n101-k8,100,0.031415926535897934,0.06283185307179587
1238453458214.228,248.9470630211972,0.9945616407629686,21,scaled-mmin=2-mmax=4,2,1.8654515743255615,E-n101-k8,100,0.031415926535897934,0.06283185307179587
1938872887624.8438,239.29622268382917,0.957938941523415,9,scaled-mmin=2-mmax=7,0,1.8667747974395752,E-n101-k8,100,0.031415926535897934,0.10995574287564278
1482921384349.0347,186.13929203766585,0.9635794478021253,17,scaled-mmin=2-mmax=7,1,1.8826167583465576,E-n101-k8,100,0.031415926535897934,0.10995574287564278
1621744873390.125,218.30374649139762,0.9715816420109391,11,scaled-mmin=2-mmax=7,2,1.805738925933838,E-n101-k8,100,0.031415926535897934,0.10995574287564278
1414791551995.7285,1359.5870551790224,1.062087971334671,6,scaled-mmin=2-mmax=14,0,1.8096327781677246,E-n101-k8,100,0.031415926535897934,0.21991148575128555
1133213979396.7031,722.0786552921578,1.0482047482075225,9,scaled-mmin=2-mmax=14,1,1.809396743774414,E-n101-k8,100,0.031415926535897934,0.21991148575128555
