hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
1522232973321.7014,1020.9349519317487,1.0940758149100607,13,default(0.001),0,1.8545725345611572,E-n101-k8,100
2976884890085.498,101.9554623394844,0.9978418561482477,14,default(0.001),1,1.8905277252197266,E-n101-k8,100
1985181046972.6602,468.3761697824178,1.0405514093357988,4,default(0.001),2,1.8394525051116943,E-n101-k8,100
2370536292164.4375,1276.9614063312547,1.0817944134096733,10,default(0.001),3,2.02895188331604,E-n101-k8,100
2174765734760.1797,374.6105891963268,1.0581178294832523,6,default(0.001),4,1.8997883796691895,E-n101-k8,100
2246374798604.0,903.4428544230218,1.077474953130528,12,default(0.001),5,2.0201921463012695,E-n101-k8,100
1215258441196.725,522.4246328931104,1.0315762617158166,18,default(0.001),6,1.9874448776245117,E-n101-k8,100
2689795811895.953,207.77637040636316,0.9941743447654813,7,default(0.001),7,1.868664026260376,E-n101-k8,100
1942582664798.75,1049.51842304782,1.08213729660519,9,default(0.001),8,1.9358911514282227,E-n101-k8,100
2063210688984.1309,554.3383796929835,1.0568491586342545,5,default(0.001),9,2.0605573654174805,E-n101-k8,100
2935356686224.4526,339.1091820277965,1.0619763178350479,14,default(0.001),10,1.852034091949463,E-n101-k8,100
2633751864212.422,269.4573098899006,0.9844814989000388,6,default(0.001),11,2.0357906818389893,E-n101-k8,100
2198951056834.75,395.95562065654553,1.057863300931369,8,default(0.001),12,1.8504092693328857,E-n101-k8,100
2127791215868.6055,263.6559883126323,0.9440814033502005,6,default(0.001),13,1.8831965923309326,E-n101-k8,100
2091121848649.6777,538.7944808273247,1.0783869055283193,16,default(0.001),14,1.9943456649780273,E-n101-k8,100
1522232973321.7014,1020.9349519317487,1.0940758149100607,13,mild(0.002),0,1.8717656135559082,E-n101-k8,100
2894154493040.95,95.14910651699662,0.9493366813161692,14,mild(0.002),1,1.9418680667877197,E-n101-k8,100
1985181046972.6602,468.3761697824178,1.0405514093357988,4,mild(0.002),2,1.936678171157837,E-n101-k8,100
2370536292164.4375,1276.9614063312547,1.0817944134096733,10,mild(0.002),3,1.8934142589569092,E-n101-k8,100
2110553666987.0312,379.11602712179206,1.0929337005336965,6,mild(0.002),4,1.8285377025604248,E-n101-k8,100
1766999994680.0083,809.0142758639055,1.0893961804728756,14,mild(0.002),5,1.8323488235473633,E-n101-k8,100
1215258441196.725,522.4246328931104,1.0315762617158166,18,mild(0.002),6,1.9685399532318115,E-n101-k8,100
2689795811895.953,207.77637040636316,0.9941743447654813,7,mild(0.002),7,2.0732157230377197,E-n101-k8,100
1942582664798.75,1049.51842304782,1.08213729660519,9,mild(0.002),8,1.9782404899597168,E-n101-k8,100
2063210688984.1309,554.3383796929835,1.0568491586342545,5,mild(0.002),9,1.8695011138916016,E-n101-k8,100
2935356686224.4526,339.1091820277965,1.0619763178350479,14,mild(0.002),10,1.8940083980560303,E-n101-k8,100
2633751864212.422,269.4573098899006,0.9844814989000388,6,mild(0.002),11,1.8684232234954834,E-n101-k8,100
2198951056834.75,395.95562065654553,1.057863300931369,8,mild(0.002),12,1.8924684524536133,E-n101-k8,100
2127791215868.6055,263.6559883126323,0.9440814033502005,6,mild(0.002),13,1.8274316787719727,E-n101-k8,100
2087580143457.4392,571.6614670971346,1.076929691341024,14,mild(0.002),14,1.8257725238800049,E-n101-k8,100
